Initializing...Done
Initial objective: 55
------------------------------------------------------------------
Elapsed Time	Temperature	Epoch	Objective	Acceptance
------------------------------------------------------------------
  0:0:51.794	          4	1/45	    60	         Y
  0:1:43.466	          4	1/45	    74	         Y
  0:2:33.992	          4	1/45	    55	         N
  0:3:25.404	          4	1/45	    59	         N
  0:4:17.366	          4	1/45	    65	         N
   0:5:8.818	          4	1/45	    67	         N
   0:6:0.294	          4	1/45	    57	         N
   0:6:55.49	          4	1/45	   120	         Y
  0:7:46.531	          4	1/45	    85	         N
  0:8:38.627	          4	1/45	    90	         N
  0:9:33.313	       3.68	2/45	    85	         N
 0:10:26.664	       3.68	2/45	    90	         N
 0:11:19.756	       3.68	2/45	    79	         N
 0:12:12.669	       3.68	2/45	    75	         N
  0:13:4.865	       3.68	2/45	    62	         N
 0:13:56.655	       3.68	2/45	    68	         N
 0:14:49.552	       3.68	2/45	    90	         N
 0:15:41.619	       3.68	2/45	    65	         N
 0:16:34.517	       3.68	2/45	    91	         N
 0:17:27.182	       3.68	2/45	    78	         N
 0:18:18.951	     3.3856	3/45	    44	         N
 0:19:11.344	     3.3856	3/45	   116	         N
  0:20:4.604	     3.3856	3/45	    66	         N
 0:20:56.529	     3.3856	3/45	    97	         N
 0:21:48.822	     3.3856	3/45	    89	         N
  0:22:41.44	     3.3856	3/45	   114	         N
 0:23:32.693	     3.3856	3/45	    84	         N
 0:24:24.258	     3.3856	3/45	   117	         Y
 0:25:15.529	     3.3856	3/45	    57	         N
  0:26:8.913	     3.3856	3/45	   110	         N
  0:27:0.976	   3.114752	4/45	    46	         N
 0:27:52.730	   3.114752	4/45	    69	         Y
 0:28:44.860	   3.114752	4/45	   116	         Y
 0:29:39.498	   3.114752	4/45	   101	         N
 0:30:30.901	   3.114752	4/45	    31	         N
 0:31:22.612	   3.114752	4/45	    89	         N
 0:32:14.160	   3.114752	4/45	    63	         N
  0:33:1.885	   3.114752	4/45	    73	         N
 0:33:49.467	   3.114752	4/45	    70	         N
 0:34:36.968	   3.114752	4/45	    74	         N
 0:35:24.994	  2.8655718	5/45	    91	         N
 0:36:12.896	  2.8655718	5/45	    88	         N
  0:37:0.716	  2.8655718	5/45	    67	         N
 0:37:47.508	  2.8655718	5/45	    72	         N
 0:38:34.973	  2.8655718	5/45	    61	         N
 0:39:22.720	  2.8655718	5/45	    98	         N
 0:40:10.438	  2.8655718	5/45	    60	         N
 0:40:57.451	  2.8655718	5/45	    80	         N
 0:41:43.907	  2.8655718	5/45	    67	         N
 0:42:31.196	  2.8655718	5/45	    80	         N
 0:43:18.582	  2.6363261	6/45	    77	         N
  0:44:5.835	  2.6363261	6/45	    30	         N
 0:44:52.936	  2.6363261	6/45	    74	         N
 0:45:40.639	  2.6363261	6/45	    91	         N
 0:46:27.197	  2.6363261	6/45	    79	         N
 0:47:14.513	  2.6363261	6/45	    58	         N
  0:48:2.275	  2.6363261	6/45	    68	         N
 0:48:51.135	  2.6363261	6/45	    79	         N
  0:49:40.59	  2.6363261	6/45	   106	         N
 0:50:29.940	  2.6363261	6/45	    74	         N
  0:51:18.50	    2.42542	7/45	    69	         N
  0:52:5.407	    2.42542	7/45	    57	         N
 0:52:52.402	    2.42542	7/45	    67	         N
 0:53:39.928	    2.42542	7/45	    75	         N
 0:54:26.792	    2.42542	7/45	    84	         N
 0:55:14.305	    2.42542	7/45	    83	         N
  0:56:1.747	    2.42542	7/45	    75	         N
 0:56:49.593	    2.42542	7/45	    85	         N
 0:57:36.951	    2.42542	7/45	    74	         N
 0:58:24.149	    2.42542	7/45	    87	         N
 0:59:11.899	  2.2313864	8/45	    68	         N
  0:59:59.62	  2.2313864	8/45	    93	         N
  1:0:46.201	  2.2313864	8/45	    89	         N
  1:1:33.160	  2.2313864	8/45	    64	         N
  1:2:19.863	  2.2313864	8/45	    59	         N
   1:3:7.114	  2.2313864	8/45	    61	         N
  1:3:54.193	  2.2313864	8/45	    47	         N
  1:4:40.769	  2.2313864	8/45	    73	         N
  1:5:28.408	  2.2313864	8/45	    60	         N
  1:6:15.617	  2.2313864	8/45	    60	         N
   1:7:3.632	  2.0528755	9/45	    79	         N
  1:7:51.505	  2.0528755	9/45	   104	         N
  1:8:38.926	  2.0528755	9/45	    87	         N
  1:9:26.847	  2.0528755	9/45	    58	         N
 1:10:14.402	  2.0528755	9/45	    69	         N
  1:11:2.143	  2.0528755	9/45	    59	         N
 1:11:49.728	  2.0528755	9/45	    53	         N
 1:12:37.370	  2.0528755	9/45	    60	         N
 1:13:25.891	  2.0528755	9/45	    81	         N
 1:14:14.112	  2.0528755	9/45	    64	         N
   1:15:2.81	  1.8886455	10/45	    69	         N
 1:15:49.509	  1.8886455	10/45	    65	         N
 1:16:37.395	  1.8886455	10/45	    71	         N
 1:17:25.888	  1.8886455	10/45	    71	         N
 1:18:14.366	  1.8886455	10/45	    64	         N
  1:19:4.315	  1.8886455	10/45	    95	         N
 1:19:53.699	  1.8886455	10/45	   107	         N
 1:20:47.893	  1.8886455	10/45	    48	         N
 1:21:47.513	  1.8886455	10/45	    80	         N
 1:22:46.476	  1.8886455	10/45	    82	         N
 1:23:38.767	  1.7375538	11/45	    71	         N
  1:24:37.35	  1.7375538	11/45	    61	         N
 1:25:33.371	  1.7375538	11/45	    63	         N
 1:26:30.180	  1.7375538	11/45	    82	         N
 1:27:20.647	  1.7375538	11/45	    82	         N
 1:28:10.685	  1.7375538	11/45	    56	         N
  1:29:2.232	  1.7375538	11/45	    89	         N
 1:29:51.369	  1.7375538	11/45	    55	         N
 1:30:41.348	  1.7375538	11/45	    79	         N
 1:31:30.309	  1.7375538	11/45	    99	         N
 1:32:19.801	  1.5985495	12/45	    87	         N
 1:33:11.863	  1.5985495	12/45	    93	         N
  1:34:5.926	  1.5985495	12/45	    58	         N
  1:35:1.879	  1.5985495	12/45	    60	         N
 1:35:56.880	  1.5985495	12/45	    70	         N
 1:36:50.438	  1.5985495	12/45	    85	         N
 1:37:46.352	  1.5985495	12/45	    86	         N
 1:38:37.768	  1.5985495	12/45	    93	         N
 1:39:31.161	  1.5985495	12/45	    52	         N
 1:40:25.815	  1.5985495	12/45	    71	         N
  1:41:21.78	  1.4706656	13/45	    59	         N
 1:42:15.668	  1.4706656	13/45	    61	         N
  1:43:8.913	  1.4706656	13/45	   119	         Y
  1:44:3.228	  1.4706656	13/45	    86	         N
  1:44:57.91	  1.4706656	13/45	    75	         N
