Initial objective: 4
------------------------------------------------------------------
Elapsed Time	Temperature	Epoch	Trial	Objective	Acceptance
------------------------------------------------------------------
    0:0:3.42	        1.5	1/36	1/10	     4	         N
   0:0:4.763	        1.5	1/36	2/10	     3	         N
   0:0:6.249	        1.5	1/36	3/10	     5	         Y
   0:0:7.975	        1.5	1/36	4/10	     5	         N
   0:0:9.554	        1.5	1/36	5/10	     4	         Y
  0:0:10.946	        1.5	1/36	6/10	     5	         Y
  0:0:12.379	        1.5	1/36	7/10	     6	         Y
  0:0:13.856	        1.5	1/36	8/10	     6	         N
  0:0:15.327	        1.5	1/36	9/10	     5	         N
  0:0:16.791	        1.5	1/36	10/10	     5	         N
  0:0:18.261	       1.38	2/36	1/10	     6	         N
  0:0:19.684	       1.38	2/36	2/10	     3	         N
  0:0:21.185	       1.38	2/36	3/10	     5	         N
   0:0:23.32	       1.38	2/36	4/10	     6	         N
  0:0:24.502	       1.38	2/36	5/10	     6	         N
  0:0:25.990	       1.38	2/36	6/10	     6	         N
  0:0:27.455	       1.38	2/36	7/10	     4	         N
   0:0:29.59	       1.38	2/36	8/10	     5	         N
  0:0:30.557	       1.38	2/36	9/10	     5	         N
  0:0:32.235	       1.38	2/36	10/10	     4	         N
   0:0:34.48	     1.2696	3/36	1/10	     4	         N
  0:0:35.518	     1.2696	3/36	2/10	     5	         N
  0:0:37.339	     1.2696	3/36	3/10	     6	         N
  0:0:39.182	     1.2696	3/36	4/10	     4	         N
  0:0:40.904	     1.2696	3/36	5/10	     5	         N
  0:0:42.603	     1.2696	3/36	6/10	     5	         N
   0:0:44.91	     1.2696	3/36	7/10	     6	         N
  0:0:45.642	     1.2696	3/36	8/10	     4	         N
  0:0:47.329	     1.2696	3/36	9/10	     6	         N
  0:0:48.926	     1.2696	3/36	10/10	     5	         N
  0:0:50.514	   1.168032	4/36	1/10	     5	         N
   0:0:52.63	   1.168032	4/36	2/10	     6	         N
  0:0:53.648	   1.168032	4/36	3/10	     6	         N
  0:0:55.351	   1.168032	4/36	4/10	     6	         N
  0:0:56.819	   1.168032	4/36	5/10	     7	         Y
  0:0:58.285	   1.168032	4/36	6/10	     7	         N
  0:0:59.747	   1.168032	4/36	7/10	     6	         N
   0:1:1.364	   1.168032	4/36	8/10	     5	         N
   0:1:2.872	   1.168032	4/36	9/10	     7	         N
   0:1:4.361	   1.168032	4/36	10/10	     5	         N
   0:1:5.938	  1.0745894	5/36	1/10	     4	         N
   0:1:7.481	  1.0745894	5/36	2/10	     5	         N
   0:1:8.986	  1.0745894	5/36	3/10	     6	         N
  0:1:10.684	  1.0745894	5/36	4/10	     7	         N
  0:1:12.239	  1.0745894	5/36	5/10	     5	         N
  0:1:13.946	  1.0745894	5/36	6/10	     7	         N
  0:1:15.658	  1.0745894	5/36	7/10	     6	         N
  0:1:17.393	  1.0745894	5/36	8/10	     9	         Y
    0:1:19.8	  1.0745894	5/36	9/10	     7	         N
  0:1:20.591	  1.0745894	5/36	10/10	     5	         N
  0:1:22.171	 0.98862228	6/36	1/10	     6	         N
