Initializing...Done
Initial objective: 59
------------------------------------------------------------------
Elapsed Time	Temperature	Epoch	Objective	Acceptance
------------------------------------------------------------------
  0:0:51.833	          4	1/45	    59	         N
  0:1:43.103	          4	1/45	    66	         Y
  0:2:34.500	          4	1/45	    97	         Y
  0:3:24.458	          4	1/45	    48	         N
  0:4:15.644	          4	1/45	    78	         N
   0:5:6.939	          4	1/45	    66	         N
  0:5:57.547	          4	1/45	    83	         N
  0:6:47.766	          4	1/45	    73	         N
  0:7:35.882	          4	1/45	    78	         N
  0:8:23.790	          4	1/45	    65	         N
  0:9:11.401	       3.68	2/45	    63	         N
  0:9:58.503	       3.68	2/45	    45	         N
 0:10:45.482	       3.68	2/45	    63	         N
 0:11:32.777	       3.68	2/45	    73	         N
 0:12:20.283	       3.68	2/45	    76	         Y
  0:13:8.195	       3.68	2/45	    85	         Y
 0:13:55.907	       3.68	2/45	    72	         N
 0:14:42.933	       3.68	2/45	    65	         N
  0:15:30.67	       3.68	2/45	    71	         N
 0:16:17.489	       3.68	2/45	    66	         N
  0:17:4.967	     3.3856	3/45	    55	         N
 0:17:51.857	     3.3856	3/45	    32	         N
 0:18:40.865	     3.3856	3/45	    71	         N
 0:19:36.681	     3.3856	3/45	   110	         Y
 0:20:32.454	     3.3856	3/45	    70	         N
 0:21:27.786	     3.3856	3/45	    89	         N
 0:22:23.532	     3.3856	3/45	   112	         Y
 0:23:19.327	     3.3856	3/45	   101	         N
 0:24:15.206	     3.3856	3/45	    55	         N
 0:25:10.502	     3.3856	3/45	    48	         N
  0:26:5.792	   3.114752	4/45	    75	         N
  0:27:1.421	   3.114752	4/45	    69	         N
  0:27:58.78	   3.114752	4/45	    52	         N
 0:28:52.850	   3.114752	4/45	    77	         N
 0:29:48.519	   3.114752	4/45	    93	         N
 0:30:43.857	   3.114752	4/45	   108	         Y
  0:31:39.46	   3.114752	4/45	    90	         N
 0:32:33.911	   3.114752	4/45	    70	         N
 0:33:30.282	   3.114752	4/45	   105	         N
 0:34:26.926	   3.114752	4/45	    87	         N
 0:35:23.509	  2.8655718	5/45	    73	         N
  0:36:20.79	  2.8655718	5/45	   111	         Y
 0:37:15.551	  2.8655718	5/45	    62	         N
 0:38:11.164	  2.8655718	5/45	    78	         N
  0:39:6.354	  2.8655718	5/45	    40	         N
   0:40:3.21	  2.8655718	5/45	    88	         N
 0:40:58.228	  2.8655718	5/45	    86	         N
  0:41:56.13	  2.8655718	5/45	   118	         Y
 0:42:51.645	  2.8655718	5/45	    49	         N
 0:43:47.951	  2.8655718	5/45	   119	         Y
 0:44:44.806	  2.6363261	6/45	    93	         N
 0:45:41.654	  2.6363261	6/45	   107	         N
 0:46:37.222	  2.6363261	6/45	    92	         N
 0:47:32.627	  2.6363261	6/45	    68	         N
 0:48:28.442	  2.6363261	6/45	   118	         Y
 0:49:25.473	  2.6363261	6/45	   123	         Y
 0:50:20.975	  2.6363261	6/45	    80	         N
 0:51:17.742	  2.6363261	6/45	   113	         N
 0:52:13.518	  2.6363261	6/45	    74	         N
  0:53:9.762	  2.6363261	6/45	   123	         N
  0:54:5.664	    2.42542	7/45	    93	         N
  0:55:1.864	    2.42542	7/45	    53	         N
 0:55:59.423	    2.42542	7/45	    88	         N
 0:56:55.845	    2.42542	7/45	    97	         N
 0:57:51.878	    2.42542	7/45	    54	         N
 0:58:46.833	    2.42542	7/45	    71	         N
 0:59:42.532	    2.42542	7/45	    94	         N
  1:0:38.847	    2.42542	7/45	    92	         N
  1:1:36.509	    2.42542	7/45	    97	         N
    1:2:33.9	    2.42542	7/45	   108	         N
  1:3:30.284	  2.2313864	8/45	   121	         N
  1:4:25.356	  2.2313864	8/45	    76	         N
  1:5:21.305	  2.2313864	8/45	    65	         N
  1:6:16.596	  2.2313864	8/45	    62	         N
  1:7:12.930	  2.2313864	8/45	    62	         N
  1:8:10.687	  2.2313864	8/45	   113	         N
   1:9:7.497	  2.2313864	8/45	   110	         N
  1:10:2.908	  2.2313864	8/45	    75	         N
 1:10:59.160	  2.2313864	8/45	    91	         N
 1:11:56.261	  2.2313864	8/45	    98	         N
 1:12:52.451	  2.0528755	9/45	   111	         N
 1:13:48.589	  2.0528755	9/45	    84	         N
 1:14:44.848	  2.0528755	9/45	    77	         N
 1:15:40.963	  2.0528755	9/45	    70	         N
 1:16:37.593	  2.0528755	9/45	   144	         Y
 1:17:33.603	  2.0528755	9/45	   105	         N
 1:18:29.423	  2.0528755	9/45	    40	         N
 1:19:24.924	  2.0528755	9/45	    89	         N
 1:20:21.381	  2.0528755	9/45	    90	         N
 1:21:16.604	  2.0528755	9/45	    99	         N
 1:22:13.452	  1.8886455	10/45	    92	         N
  1:23:9.338	  1.8886455	10/45	   100	         N
  1:24:4.946	  1.8886455	10/45	   105	         N
  1:25:0.346	  1.8886455	10/45	    80	         N
 1:25:55.933	  1.8886455	10/45	   103	         N
 1:26:52.557	  1.8886455	10/45	    77	         N
 1:27:45.455	  1.8886455	10/45	    73	         N
 1:28:40.124	  1.8886455	10/45	    62	         N
 1:29:38.622	  1.8886455	10/45	   128	         N
 1:30:37.816	  1.8886455	10/45	    94	         N
 1:31:36.344	  1.7375538	11/45	    76	         N
 1:32:34.636	  1.7375538	11/45	    69	         N
  1:33:34.79	  1.7375538	11/45	    80	         N
 1:34:42.219	  1.7375538	11/45	    88	         N
 1:35:45.889	  1.7375538	11/45	    65	         N
 1:36:38.155	  1.7375538	11/45	    92	         N
  1:37:39.54	  1.7375538	11/45	    62	         N
 1:38:36.680	  1.7375538	11/45	    60	         N
 1:39:38.315	  1.7375538	11/45	    67	         N
 1:40:34.407	  1.7375538	11/45	    86	         N
 1:41:32.699	  1.5985495	12/45	    69	         N
 1:42:36.296	  1.5985495	12/45	    57	         N
 1:43:40.895	  1.5985495	12/45	    94	         N
 1:44:34.807	  1.5985495	12/45	    58	         N
 1:45:35.104	  1.5985495	12/45	    97	         N
 1:46:36.496	  1.5985495	12/45	   111	         N
 1:47:28.712	  1.5985495	12/45	    78	         N
 1:48:17.241	  1.5985495	12/45	    88	         N
  1:49:5.577	  1.5985495	12/45	    96	         N
 1:49:56.763	  1.5985495	12/45	    83	         N
  1:50:46.32	  1.4706656	13/45	    86	         N
 1:51:35.974	  1.4706656	13/45	    70	         N
 1:52:27.221	  1.4706656	13/45	    78	         N
  1:53:19.16	  1.4706656	13/45	    58	         N
 1:54:14.964	  1.4706656	13/45	    98	         N
   1:55:10.0	  1.4706656	13/45	   111	         N
  1:56:4.845	  1.4706656	13/45	   103	         N
 1:56:59.304	  1.4706656	13/45	    77	         N
 1:57:56.128	  1.4706656	13/45	   124	         N
 1:58:52.659	  1.4706656	13/45	    97	         N
 1:59:45.341	  1.3530123	14/45	    70	         N
   2:0:38.85	  1.3530123	14/45	    82	         N
  2:1:33.272	  1.3530123	14/45	   123	         N
  2:2:25.615	  1.3530123	14/45	    87	         N
  2:3:22.744	  1.3530123	14/45	    85	         N
  2:4:16.104	  1.3530123	14/45	    92	         N
  2:5:16.809	  1.3530123	14/45	   142	         N
  2:6:15.710	  1.3530123	14/45	    73	         N
   2:7:14.65	  1.3530123	14/45	    79	         N
  2:8:12.231	  1.3530123	14/45	    92	         N
   2:9:7.777	  1.2447713	15/45	    73	         N
  2:10:3.363	  1.2447713	15/45	    70	         N
  2:11:1.652	  1.2447713	15/45	    42	         N
  2:12:1.335	  1.2447713	15/45	   101	         N
  2:13:0.132	  1.2447713	15/45	   101	         N
 2:13:58.850	  1.2447713	15/45	    87	         N
  2:14:57.96	  1.2447713	15/45	    77	         N
   2:15:54.6	  1.2447713	15/45	    57	         N
 2:16:50.607	  1.2447713	15/45	    79	         N
  2:17:47.47	  1.2447713	15/45	    74	         N
 2:18:42.676	  1.1451896	16/45	    97	         N
  2:19:39.86	  1.1451896	16/45	   100	         N
