Initial objective: 6
------------------------------------------------------------------
Elapsed Time	Temperature	Epoch	Trial	Objective	Acceptance
------------------------------------------------------------------
   0:0:1.284	          2	1/36	1/10	     6	         N
   0:0:2.577	          2	1/36	2/10	     6	         N
   0:0:3.894	          2	1/36	3/10	     5	         Y
   0:0:5.244	          2	1/36	4/10	     6	         Y
   0:0:6.572	          2	1/36	5/10	     4	         Y
   0:0:7.830	          2	1/36	6/10	     7	         Y
   0:0:9.160	          2	1/36	7/10	     7	         N
  0:0:10.447	          2	1/36	8/10	     6	         Y
  0:0:11.713	          2	1/36	9/10	     5	         Y
   0:0:13.16	          2	1/36	10/10	     6	         Y
  0:0:14.284	       1.84	2/36	1/10	     5	         Y
  0:0:15.558	       1.84	2/36	2/10	     6	         Y
  0:0:16.792	       1.84	2/36	3/10	     6	         N
   0:0:18.67	       1.84	2/36	4/10	     8	         Y
  0:0:19.435	       1.84	2/36	5/10	     9	         Y
  0:0:20.805	       1.84	2/36	6/10	     6	         N
  0:0:22.220	       1.84	2/36	7/10	     6	         Y
  0:0:23.504	       1.84	2/36	8/10	     8	         Y
  0:0:24.787	       1.84	2/36	9/10	     8	         N
   0:0:26.82	       1.84	2/36	10/10	     6	         N
  0:0:27.323	     1.6928	3/36	1/10	     7	         N
  0:0:28.602	     1.6928	3/36	2/10	    10	         Y
  0:0:29.886	     1.6928	3/36	3/10	     6	         N
  0:0:31.160	     1.6928	3/36	4/10	     6	         N
  0:0:32.516	     1.6928	3/36	5/10	     7	         Y
  0:0:33.780	     1.6928	3/36	6/10	     7	         N
   0:0:35.95	     1.6928	3/36	7/10	     6	         Y
  0:0:36.516	     1.6928	3/36	8/10	     6	         N
  0:0:37.771	     1.6928	3/36	9/10	     4	         N
  0:0:39.312	     1.6928	3/36	10/10	     6	         N
  0:0:40.863	   1.557376	4/36	1/10	     6	         N
  0:0:42.149	   1.557376	4/36	2/10	     5	         Y
  0:0:43.416	   1.557376	4/36	3/10	     6	         Y
  0:0:44.694	   1.557376	4/36	4/10	     4	         Y
   0:0:46.86	   1.557376	4/36	5/10	     7	         Y
  0:0:47.604	   1.557376	4/36	6/10	     6	         N
  0:0:48.857	   1.557376	4/36	7/10	     5	         N
  0:0:50.128	   1.557376	4/36	8/10	     8	         Y
  0:0:51.375	   1.557376	4/36	9/10	     8	         N
  0:0:52.632	   1.557376	4/36	10/10	     8	         N
  0:0:53.900	  1.4327859	5/36	1/10	     7	         N
  0:0:55.322	  1.4327859	5/36	2/10	     7	         N
  0:0:56.667	  1.4327859	5/36	3/10	     7	         N
  0:0:58.110	  1.4327859	5/36	4/10	     7	         Y
  0:0:59.588	  1.4327859	5/36	5/10	     7	         N
   0:1:0.852	  1.4327859	5/36	6/10	    10	         Y
   0:1:2.167	  1.4327859	5/36	7/10	     7	         N
   0:1:3.470	  1.4327859	5/36	8/10	     7	         N
   0:1:4.977	  1.4327859	5/36	9/10	     5	         N
   0:1:6.524	  1.4327859	5/36	10/10	     6	         N
   0:1:7.859	   1.318163	6/36	1/10	    10	         N
   0:1:9.127	   1.318163	6/36	2/10	     7	         Y
  0:1:10.415	   1.318163	6/36	3/10	     7	         N
  0:1:11.703	   1.318163	6/36	4/10	     6	         Y
   0:1:13.57	   1.318163	6/36	5/10	     6	         N
  0:1:14.641	   1.318163	6/36	6/10	     5	         N
  0:1:16.518	   1.318163	6/36	7/10	     6	         N
  0:1:17.826	   1.318163	6/36	8/10	     4	         Y
   0:1:19.80	   1.318163	6/36	9/10	     4	         N
  0:1:20.502	   1.318163	6/36	10/10	     7	         Y
   0:1:22.46	    1.21271	7/36	1/10	     7	         N
  0:1:23.498	    1.21271	7/36	2/10	     7	         N
  0:1:24.766	    1.21271	7/36	3/10	     5	         N
  0:1:26.117	    1.21271	7/36	4/10	     6	         Y
  0:1:27.391	    1.21271	7/36	5/10	     6	         N
  0:1:28.677	    1.21271	7/36	6/10	     3	         N
  0:1:30.115	    1.21271	7/36	7/10	     7	         Y
  0:1:31.422	    1.21271	7/36	8/10	     5	         Y
  0:1:32.783	    1.21271	7/36	9/10	     4	         N
  0:1:34.104	    1.21271	7/36	10/10	     6	         Y
  0:1:35.545	  1.1156932	8/36	1/10	     7	         Y
  0:1:36.825	  1.1156932	8/36	2/10	     7	         N
  0:1:38.109	  1.1156932	8/36	3/10	     6	         N
  0:1:39.405	  1.1156932	8/36	4/10	     5	         N
  0:1:40.827	  1.1156932	8/36	5/10	     6	         Y
  0:1:42.117	  1.1156932	8/36	6/10	     7	         Y
  0:1:43.410	  1.1156932	8/36	7/10	     8	         Y
  0:1:44.981	  1.1156932	8/36	8/10	     7	         Y
   0:1:47.93	  1.1156932	8/36	9/10	     5	         N
  0:1:48.362	  1.1156932	8/36	10/10	     8	         Y
  0:1:49.680	  1.0264377	9/36	1/10	     6	         N
  0:1:50.949	  1.0264377	9/36	2/10	     5	         Y
  0:1:52.342	  1.0264377	9/36	3/10	     4	         N
  0:1:53.734	  1.0264377	9/36	4/10	     4	         N
  0:1:55.282	  1.0264377	9/36	5/10	     4	         N
  0:1:56.826	  1.0264377	9/36	6/10	     8	         Y
  0:1:58.126	  1.0264377	9/36	7/10	     6	         N
  0:1:59.406	  1.0264377	9/36	8/10	     6	         Y
   0:2:0.762	  1.0264377	9/36	9/10	     5	         Y
    0:2:2.63	  1.0264377	9/36	10/10	     6	         Y
   0:2:3.461	 0.94432273	10/36	1/10	     8	         Y
   0:2:4.794	 0.94432273	10/36	2/10	     6	         Y
    0:2:6.94	 0.94432273	10/36	3/10	     5	         N
   0:2:7.358	 0.94432273	10/36	4/10	     5	         N
   0:2:8.718	 0.94432273	10/36	5/10	     5	         Y
   0:2:10.82	 0.94432273	10/36	6/10	     5	         N
  0:2:11.361	 0.94432273	10/36	7/10	     4	         N
  0:2:12.676	 0.94432273	10/36	8/10	     7	         Y
   0:2:14.58	 0.94432273	10/36	9/10	     8	         Y
  0:2:15.366	 0.94432273	10/36	10/10	     5	         N
  0:2:16.634	 0.86877691	11/36	1/10	     7	         Y
  0:2:17.912	 0.86877691	11/36	2/10	     7	         N
  0:2:19.310	 0.86877691	11/36	3/10	     6	         Y
  0:2:20.630	 0.86877691	11/36	4/10	     5	         Y
  0:2:21.920	 0.86877691	11/36	5/10	     6	         Y
  0:2:23.282	 0.86877691	11/36	6/10	     7	         Y
  0:2:24.633	 0.86877691	11/36	7/10	     6	         Y
  0:2:25.926	 0.86877691	11/36	8/10	     7	         Y
  0:2:27.254	 0.86877691	11/36	9/10	     3	         N
  0:2:28.585	 0.86877691	11/36	10/10	     5	         N
  0:2:29.967	 0.79927476	12/36	1/10	     5	         N
  0:2:31.239	 0.79927476	12/36	2/10	     6	         N
  0:2:32.490	 0.79927476	12/36	3/10	     6	         Y
  0:2:33.773	 0.79927476	12/36	4/10	     4	         N
    0:2:35.6	 0.79927476	12/36	5/10	     6	         N
  0:2:36.333	 0.79927476	12/36	6/10	     7	         Y
