Initial objective: 52
------------------------------------------------------------------
Elapsed Time	Temperature	Epoch	Trial	Objective	Acceptance
------------------------------------------------------------------
  0:0:50.345	          3	1/17	1/15	    52	         N
  0:1:40.653	          3	1/17	2/15	    52	         N
    0:2:31.3	          3	1/17	3/15	    48	         N
  0:3:21.342	          3	1/17	4/15	    49	         N
  0:4:11.686	          3	1/17	5/15	    50	         Y
    0:5:2.92	          3	1/17	6/15	    48	         Y
  0:5:52.525	          3	1/17	7/15	    48	         N
  0:6:42.904	          3	1/17	8/15	    47	         N
  0:7:33.281	          3	1/17	9/15	    52	         Y
  0:8:23.667	          3	1/17	10/15	    49	         Y
  0:9:14.111	          3	1/17	11/15	    51	         Y
  0:10:4.483	          3	1/17	12/15	    55	         Y
 0:10:54.864	          3	1/17	13/15	    52	         Y
 0:11:45.281	          3	1/17	14/15	    47	         N
  0:12:37.21	          3	1/17	15/15	    55	         Y
 0:13:34.161	       2.55	2/17	1/15	    55	         N
 0:14:32.331	       2.55	2/17	2/15	    51	         Y
 0:15:28.334	       2.55	2/17	3/15	    54	         Y
 0:16:24.619	       2.55	2/17	4/15	    52	         N
 0:17:21.219	       2.55	2/17	5/15	    54	         N
 0:18:17.966	       2.55	2/17	6/15	    55	         Y
 0:19:12.144	       2.55	2/17	7/15	    54	         Y
  0:20:7.715	       2.55	2/17	8/15	    50	         N
  0:21:1.791	       2.55	2/17	9/15	    56	         Y
  0:22:0.357	       2.55	2/17	10/15	    52	         N
 0:22:57.772	       2.55	2/17	11/15	    50	         N
 0:23:54.339	       2.55	2/17	12/15	    53	         Y
 0:24:48.137	       2.55	2/17	13/15	    51	         Y
 0:25:38.447	       2.55	2/17	14/15	    53	         Y
 0:26:28.722	       2.55	2/17	15/15	    47	         N
   0:27:19.8	     2.1675	3/17	1/15	    50	         Y
  0:28:9.305	     2.1675	3/17	2/15	    50	         N
 0:28:59.653	     2.1675	3/17	3/15	    55	         Y
 0:29:49.991	     2.1675	3/17	4/15	    57	         Y
 0:30:40.282	     2.1675	3/17	5/15	    52	         N
 0:31:30.594	     2.1675	3/17	6/15	    54	         N
 0:32:20.952	     2.1675	3/17	7/15	    53	         N
 0:33:11.248	     2.1675	3/17	8/15	    52	         N
  0:34:1.554	     2.1675	3/17	9/15	    57	         N
 0:34:51.853	     2.1675	3/17	10/15	    50	         Y
 0:35:42.190	     2.1675	3/17	11/15	    49	         N
 0:36:32.502	     2.1675	3/17	12/15	    52	         Y
 0:37:22.786	     2.1675	3/17	13/15	    50	         Y
  0:38:13.83	     2.1675	3/17	14/15	    49	         N
  0:39:3.390	     2.1675	3/17	15/15	    49	         Y
 0:39:53.680	   1.842375	4/17	1/15	    48	         Y
 0:40:43.998	   1.842375	4/17	2/15	    49	         Y
 0:41:34.322	   1.842375	4/17	3/15	    53	         Y
 0:42:24.647	   1.842375	4/17	4/15	    50	         Y
 0:43:14.917	   1.842375	4/17	5/15	    56	         Y
  0:44:5.815	   1.842375	4/17	6/15	    53	         N
 0:44:56.139	   1.842375	4/17	7/15	    54	         N
 0:45:46.418	   1.842375	4/17	8/15	    55	         Y
 0:46:36.747	   1.842375	4/17	9/15	    54	         N
  0:47:27.57	   1.842375	4/17	10/15	    53	         Y
 0:48:17.384	   1.842375	4/17	11/15	    49	         N
  0:49:7.672	   1.842375	4/17	12/15	    57	         Y
 0:49:57.963	   1.842375	4/17	13/15	    57	         N
 0:50:48.290	   1.842375	4/17	14/15	    57	         N
 0:51:38.576	   1.842375	4/17	15/15	    53	         N
