Initial objective: 3
------------------------------------------------------------------
Elapsed Time	Temperature	Epoch	Trial	Objective	Acceptance
------------------------------------------------------------------
  0:0:56.759	   1.500000	 1/26	 1/5	        3	         Y
    0:1:44.9	   1.500000	 1/26	 2/5	        3	         Y
  0:2:30.138	   1.500000	 1/26	 3/5	        3	         Y
  0:3:16.232	   1.500000	 1/26	 4/5	        3	         Y
    0:4:3.99	   1.500000	 1/26	 5/5	        3	         Y
   0:4:49.35	   1.350000	 2/26	 1/5	        3	         Y
  0:5:35.248	   1.350000	 2/26	 2/5	        4	         Y
  0:6:21.217	   1.350000	 2/26	 3/5	        2	         N
   0:7:7.161	   1.350000	 2/26	 4/5	        2	         N
   0:7:54.90	   1.350000	 2/26	 5/5	        2	         N
  0:8:42.613	   1.215000	 3/26	 1/5	        3	         N
  0:9:28.615	   1.215000	 3/26	 2/5	        2	         N
 0:10:15.101	   1.215000	 3/26	 3/5	        4	         Y
  0:11:8.823	   1.215000	 3/26	 4/5	        3	         N
 0:11:57.890	   1.215000	 3/26	 5/5	        2	         N
 0:12:45.683	   1.093500	 4/26	 1/5	        3	         N
 0:13:33.397	   1.093500	 4/26	 2/5	        3	         N
 0:14:19.861	   1.093500	 4/26	 3/5	        4	         Y
   0:15:7.73	   1.093500	 4/26	 4/5	        4	         Y
 0:15:53.576	   1.093500	 4/26	 5/5	        2	         N
 0:16:39.838	   0.984150	 5/26	 1/5	        2	         N
 0:17:26.577	   0.984150	 5/26	 2/5	        3	         N
  0:18:13.47	   0.984150	 5/26	 3/5	        2	         N
 0:18:59.118	   0.984150	 5/26	 4/5	        3	         N
 0:19:45.568	   0.984150	 5/26	 5/5	        3	         N
 0:20:32.415	   0.885735	 6/26	 1/5	        3	         N
  0:21:19.28	   0.885735	 6/26	 2/5	        3	         N
  0:22:5.578	   0.885735	 6/26	 3/5	        4	         Y
 0:22:52.233	   0.885735	 6/26	 4/5	        2	         N
