Initial objective: 9
------------------------------------------------------------------
Elapsed Time	Temperature	Epoch	Trial	Objective	Acceptance
------------------------------------------------------------------
   0:0:6.659	        1.5	1/36	1/10	     9	         N
   0:0:10.72	        1.5	1/36	2/10	     7	         N
  0:0:13.292	        1.5	1/36	3/10	     7	         N
  0:0:16.370	        1.5	1/36	4/10	     8	         Y
  0:0:19.521	        1.5	1/36	5/10	     8	         N
  0:0:22.581	        1.5	1/36	6/10	     5	         Y
  0:0:25.586	        1.5	1/36	7/10	     5	         N
  0:0:28.670	        1.5	1/36	8/10	     7	         Y
  0:0:31.701	        1.5	1/36	9/10	     7	         N
  0:0:34.921	        1.5	1/36	10/10	     8	         Y
  0:0:37.987	       1.38	2/36	1/10	     6	         N
   0:0:41.86	       1.38	2/36	2/10	     9	         Y
  0:0:44.318	       1.38	2/36	3/10	     8	         N
  0:0:47.301	       1.38	2/36	4/10	     9	         N
  0:0:50.510	       1.38	2/36	5/10	     9	         N
  0:0:53.584	       1.38	2/36	6/10	     8	         N
  0:0:56.707	       1.38	2/36	7/10	     9	         N
  0:0:59.761	       1.38	2/36	8/10	     8	         N
   0:1:2.992	       1.38	2/36	9/10	     8	         N
   0:1:6.201	       1.38	2/36	10/10	     7	         N
   0:1:9.254	     1.2696	3/36	1/10	     9	         N
  0:1:12.252	     1.2696	3/36	2/10	    10	         Y
  0:1:15.334	     1.2696	3/36	3/10	     7	         N
  0:1:18.609	     1.2696	3/36	4/10	     7	         N
   0:1:22.22	     1.2696	3/36	5/10	    11	         Y
  0:1:25.131	     1.2696	3/36	6/10	    11	         N
  0:1:28.331	     1.2696	3/36	7/10	    10	         N
  0:1:31.608	     1.2696	3/36	8/10	     9	         N
  0:1:34.840	     1.2696	3/36	9/10	     7	         N
   0:1:38.38	     1.2696	3/36	10/10	    10	         N
  0:1:41.154	   1.168032	4/36	1/10	     9	         N
  0:1:44.297	   1.168032	4/36	2/10	    10	         N
  0:1:47.565	   1.168032	4/36	3/10	    11	         N
  0:1:50.746	   1.168032	4/36	4/10	     8	         N
  0:1:53.777	   1.168032	4/36	5/10	     7	         N
  0:1:56.921	   1.168032	4/36	6/10	     6	         N
  0:1:59.999	   1.168032	4/36	7/10	    11	         N
    0:2:3.64	   1.168032	4/36	8/10	    12	         Y
    0:2:6.31	   1.168032	4/36	9/10	    11	         N
     0:2:9.3	   1.168032	4/36	10/10	     9	         N
  0:2:11.941	  1.0745894	5/36	1/10	     8	         N
  0:2:14.965	  1.0745894	5/36	2/10	     8	         N
   0:2:18.98	  1.0745894	5/36	3/10	    10	         N
  0:2:21.122	  1.0745894	5/36	4/10	     9	         N
  0:2:24.151	  1.0745894	5/36	5/10	     9	         N
  0:2:27.204	  1.0745894	5/36	6/10	    10	         N
  0:2:30.250	  1.0745894	5/36	7/10	     7	         N
  0:2:33.349	  1.0745894	5/36	8/10	     9	         N
  0:2:36.492	  1.0745894	5/36	9/10	     8	         N
  0:2:39.453	  1.0745894	5/36	10/10	     8	         N
  0:2:42.517	 0.98862228	6/36	1/10	     9	         N
  0:2:45.559	 0.98862228	6/36	2/10	     9	         N
  0:2:48.493	 0.98862228	6/36	3/10	     8	         N
  0:2:51.544	 0.98862228	6/36	4/10	     9	         N
  0:2:54.528	 0.98862228	6/36	5/10	     8	         N
  0:2:57.416	 0.98862228	6/36	6/10	    10	         N
   0:3:0.200	 0.98862228	6/36	7/10	     8	         N
   0:3:3.397	 0.98862228	6/36	8/10	    10	         N
   0:3:6.342	 0.98862228	6/36	9/10	    10	         N
   0:3:9.331	 0.98862228	6/36	10/10	     9	         N
  0:3:12.368	  0.9095325	7/36	1/10	     8	         N
  0:3:15.532	  0.9095325	7/36	2/10	    11	         N
  0:3:18.460	  0.9095325	7/36	3/10	     8	         N
  0:3:21.434	  0.9095325	7/36	4/10	    10	         N
  0:3:24.309	  0.9095325	7/36	5/10	    10	         N
  0:3:27.216	  0.9095325	7/36	6/10	    10	         N
  0:3:30.209	  0.9095325	7/36	7/10	     8	         N
   0:3:33.24	  0.9095325	7/36	8/10	     8	         N
   0:3:36.15	  0.9095325	7/36	9/10	     5	         N
