Initial objective: 7
------------------------------------------------------------------
Elapsed Time	Temperature	Epoch	Trial	Objective	Acceptance
------------------------------------------------------------------
   0:0:1.382	          4	1/45	1/10	     8	         Y
   0:0:2.696	          4	1/45	2/10	     8	         N
    0:0:4.84	          4	1/45	3/10	    11	         Y
   0:0:5.539	          4	1/45	4/10	     8	         Y
   0:0:6.893	          4	1/45	5/10	     7	         Y
   0:0:8.361	          4	1/45	6/10	     7	         N
   0:0:9.803	          4	1/45	7/10	     8	         Y
  0:0:11.212	          4	1/45	8/10	     7	         Y
  0:0:12.525	          4	1/45	9/10	     6	         Y
  0:0:13.751	          4	1/45	10/10	     6	         N
  0:0:15.113	       3.68	2/45	1/10	     8	         Y
  0:0:16.578	       3.68	2/45	2/10	     4	         N
   0:0:18.83	       3.68	2/45	3/10	     7	         Y
  0:0:19.415	       3.68	2/45	4/10	     5	         N
  0:0:20.705	       3.68	2/45	5/10	     5	         N
    0:0:22.6	       3.68	2/45	6/10	     5	         Y
  0:0:23.380	       3.68	2/45	7/10	     6	         Y
  0:0:24.750	       3.68	2/45	8/10	     9	         Y
  0:0:26.139	       3.68	2/45	9/10	     8	         Y
  0:0:27.479	       3.68	2/45	10/10	     6	         N
  0:0:28.799	     3.3856	3/45	1/10	     5	         Y
  0:0:30.181	     3.3856	3/45	2/10	     4	         Y
  0:0:31.642	     3.3856	3/45	3/10	     6	         Y
  0:0:32.927	     3.3856	3/45	4/10	     6	         N
  0:0:34.273	     3.3856	3/45	5/10	     4	         N
  0:0:35.616	     3.3856	3/45	6/10	     5	         N
  0:0:36.890	     3.3856	3/45	7/10	     8	         Y
  0:0:38.129	     3.3856	3/45	8/10	     8	         N
  0:0:39.458	     3.3856	3/45	9/10	     8	         N
  0:0:40.852	     3.3856	3/45	10/10	     4	         N
  0:0:42.164	   3.114752	4/45	1/10	     8	         N
  0:0:43.418	   3.114752	4/45	2/10	     6	         Y
  0:0:44.857	   3.114752	4/45	3/10	     6	         N
  0:0:46.217	   3.114752	4/45	4/10	     6	         N
  0:0:47.508	   3.114752	4/45	5/10	     6	         N
  0:0:48.897	   3.114752	4/45	6/10	     8	         Y
