--------------------------------------
Executions completed	Unique Outputs
--------------------------------------
                  20	             5
                  40	             5
                  60	             5
                  80	             5
                 100	             5
                 120	             5
                 140	             5
                 160	             5
                 180	             5
                 200	             5
                 220	             5
                 240	             5
                 260	             5
                 280	             5
                 300	             5
                 320	             5
                 340	             5
                 360	             5
                 380	             5
                 400	             5
                 420	             5
                 440	             5
                 460	             5
                 480	             5
                 500	             5
                 520	             5
                 540	             5
                 560	             5
                 580	             5
                 600	             5
                 620	             5
                 640	             5
                 660	             5
                 680	             5
                 700	             5
                 720	             5
                 740	             5
                 760	             5
                 780	             5
                 800	             5
                 820	             5
                 840	             5
                 860	             5
                 880	             5
                 900	             5
                 920	             5
                 940	             5
                 960	             5
                 980	             5
                1000	             5
                1020	             5
                1040	             5
                1060	             5
                1080	             5
                1100	             5
                1120	             5
                1140	             5
                1160	             5
                1180	             5
                1200	             5
                1220	             5
                1240	             5
                1260	             5
                1280	             5
                1300	             5
                1320	             5
                1340	             5
                1360	             5
                1380	             5
                1400	             5
                1420	             5
                1440	             5
                1460	             5
                1480	             5
                1500	             5
                1520	             5
                1540	             5
                1560	             5
                1580	             5
                1600	             5
                1620	             5
                1640	             5
                1660	             6
                1680	             6
                1700	             6
                1720	             6
                1740	             6
                1760	             6
                1780	             6
                1800	             6
                1820	             6
                1840	             6
                1860	             6
                1880	             6
                1900	             6
                1920	             6
                1940	             6
                1960	             6
                1980	             6
                2000	             6
                2020	             6
                2040	             6
                2060	             6
                2080	             6
                2100	             6
                2120	             6
                2140	             6
                2160	             6
                2180	             6
                2200	             6
                2220	             6
                2240	             6
                2260	             6
                2280	             6
                2300	             6
                2320	             6
                2340	             6
                2360	             6
                2380	             6
                2400	             6
                2420	             6
                2440	             6
                2460	             6
                2480	             6
                2500	             6
                2520	             6
                2540	             6
                2560	             6
                2580	             6
                2600	             6
                2620	             6
                2640	             6
                2660	             6
                2680	             6
                2700	             6
                2720	             6
                2740	             6
                2760	             6
                2780	             6
                2800	             6
                2820	             6
                2840	             6
                2860	             6
                2880	             6
                2900	             6
                2920	             6
                2940	             6
                2960	             6
                2980	             6
                3000	             6
