Initial objective: 4
------------------------------------------------------------------
Elapsed Time	Temperature	Epoch	Trial	Objective	Acceptance
------------------------------------------------------------------
  0:1:19.270	   1.500000	 1/26	 1/5	        2	         N
  0:2:39.435	   1.500000	 1/26	 2/5	        4	         Y
   0:4:2.438	   1.500000	 1/26	 3/5	        3	         N
  0:5:29.612	   1.500000	 1/26	 4/5	        4	         Y
  0:6:52.695	   1.500000	 1/26	 5/5	        3	         N
  0:8:14.996	   1.350000	 2/26	 1/5	        4	         Y
  0:9:37.580	   1.350000	 2/26	 2/5	        3	         N
 0:10:59.899	   1.350000	 2/26	 3/5	        3	         N
 0:12:18.912	   1.350000	 2/26	 4/5	        3	         N
 0:13:40.687	   1.350000	 2/26	 5/5	        2	         N
  0:15:7.902	   1.215000	 3/26	 1/5	        5	         Y
 0:16:51.240	   1.215000	 3/26	 2/5	        2	         N
 0:18:30.408	   1.215000	 3/26	 3/5	        5	         Y
  0:20:9.364	   1.215000	 3/26	 4/5	        4	         N
 0:21:43.884	   1.215000	 3/26	 5/5	        2	         N
 0:23:16.893	   1.093500	 4/26	 1/5	        2	         N
 0:24:36.772	   1.093500	 4/26	 2/5	        3	         N
  0:26:2.896	   1.093500	 4/26	 3/5	        4	         N
 0:27:22.613	   1.093500	 4/26	 4/5	        2	         N
  0:28:42.27	   1.093500	 4/26	 5/5	        3	         N
  0:30:3.102	   0.984150	 5/26	 1/5	        3	         N
  0:31:39.11	   0.984150	 5/26	 2/5	        4	         N
 0:33:10.614	   0.984150	 5/26	 3/5	        3	         N
 0:34:48.658	   0.984150	 5/26	 4/5	        3	         N
 0:36:26.489	   0.984150	 5/26	 5/5	        3	         N
  0:38:1.758	   0.885735	 6/26	 1/5	        3	         N
 0:39:37.259	   0.885735	 6/26	 2/5	        2	         N
 0:41:10.799	   0.885735	 6/26	 3/5	        4	         N
 0:42:42.563	   0.885735	 6/26	 4/5	        3	         N
  0:44:22.12	   0.885735	 6/26	 5/5	        4	         N
 0:45:59.673	   0.797162	 7/26	 1/5	        3	         N
 0:47:40.213	   0.797162	 7/26	 2/5	        3	         N
  0:49:21.85	   0.797162	 7/26	 3/5	        3	         N
 0:50:58.758	   0.797162	 7/26	 4/5	        3	         N
