--------------------------------------
Executions completed	Unique Outputs
--------------------------------------
                  20	             5
                  40	             5
                  60	             5
                  80	             5
                 100	             5
                 120	             5
                 140	             5
                 160	             6
                 180	             6
                 200	             6
                 220	             6
                 240	             6
                 260	             6
                 280	             6
                 300	             6
                 320	             6
                 340	             6
                 360	             6
                 380	             6
                 400	             6
                 420	             6
                 440	             6
                 460	             6
                 480	             6
                 500	             6
                 520	             6
                 540	             6
                 560	             6
                 580	             6
                 600	             6
                 620	             6
                 640	             6
                 660	             6
                 680	             6
                 700	             6
                 720	             6
                 740	             6
                 760	             6
                 780	             6
                 800	             6
                 820	             6
                 840	             6
                 860	             6
                 880	             6
                 900	             6
                 920	             6
                 940	             6
                 960	             6
                 980	             6
                1000	             6
                1020	             6
                1040	             6
                1060	             6
                1080	             6
                1100	             6
                1120	             6
                1140	             6
                1160	             7
                1180	             7
                1200	             7
                1220	             7
                1240	             7
                1260	             7
                1280	             7
                1300	             7
                1320	             7
                1340	             7
                1360	             7
                1380	             7
                1400	             7
                1420	             7
                1440	             7
                1460	             7
                1480	             7
                1500	             7
                1520	             7
                1540	             7
                1560	             7
                1580	             7
                1600	             7
                1620	             7
                1640	             7
                1660	             7
                1680	             7
                1700	             7
                1720	             7
                1740	             7
                1760	             7
                1780	             7
                1800	             7
                1820	             7
                1840	             7
                1860	             7
                1880	             7
                1900	             7
                1920	             7
                1940	             7
                1960	             7
                1980	             7
                2000	             7
                2020	             7
                2040	             7
                2060	             7
                2080	             7
                2100	             7
                2120	             7
                2140	             7
                2160	             7
                2180	             7
                2200	             7
                2220	             7
                2240	             7
                2260	             7
                2280	             7
                2300	             7
                2320	             7
                2340	             7
                2360	             7
                2380	             7
                2400	             7
                2420	             7
                2440	             7
                2460	             7
                2480	             7
                2500	             7
                2520	             7
                2540	             7
                2560	             7
                2580	             7
                2600	             7
                2620	             7
                2640	             7
                2660	             7
                2680	             7
                2700	             7
                2720	             7
                2740	             7
                2760	             7
                2780	             7
                2800	             7
                2820	             7
                2840	             7
                2860	             7
                2880	             7
                2900	             7
                2920	             7
                2940	             7
                2960	             7
                2980	             7
                3000	             7
