--------------------------------------
Executions completed	Unique Outputs
--------------------------------------
                  20	             4
                  40	             4
                  60	             5
                  80	             5
                 100	             5
                 120	             5
                 140	             5
                 160	             6
                 180	             6
                 200	             6
                 220	             6
                 240	             6
                 260	             6
                 280	             6
                 300	             6
                 320	             6
                 340	             6
                 360	             6
                 380	             6
                 400	             6
                 420	             6
                 440	             6
                 460	             6
                 480	             6
                 500	             6
                 520	             6
                 540	             6
                 560	             6
                 580	             6
                 600	             6
                 620	             6
                 640	             6
                 660	             6
                 680	             6
                 700	             7
                 720	             7
                 740	             7
                 760	             7
                 780	             7
                 800	             7
                 820	             7
                 840	             7
                 860	             7
                 880	             7
                 900	             7
                 920	             7
                 940	             7
                 960	             8
                 980	             8
                1000	             8
                1020	             8
                1040	             8
                1060	             8
                1080	             8
                1100	             8
                1120	             8
                1140	             8
                1160	             8
                1180	             8
                1200	             8
                1220	             8
                1240	             8
                1260	             8
                1280	             8
                1300	             8
                1320	             8
                1340	             8
                1360	             8
                1380	             8
                1400	             8
                1420	             8
                1440	             8
                1460	             8
                1480	             8
                1500	             8
                1520	             8
                1540	             8
                1560	             8
                1580	             8
                1600	             8
                1620	             8
                1640	             8
                1660	             8
                1680	             8
                1700	             8
                1720	             8
                1740	             8
                1760	             8
                1780	             8
                1800	             8
                1820	             8
                1840	             8
                1860	             8
                1880	             8
                1900	             8
                1920	             8
                1940	             8
                1960	             8
                1980	             8
                2000	             8
                2020	             8
                2040	             8
                2060	             8
                2080	             8
                2100	             8
                2120	             8
                2140	             8
                2160	             8
                2180	             8
                2200	             8
                2220	             8
                2240	             8
                2260	             8
                2280	             8
                2300	             8
                2320	             8
                2340	             8
                2360	             8
                2380	             8
                2400	             8
                2420	             8
                2440	             8
                2460	             8
                2480	             8
                2500	             8
                2520	             8
                2540	             8
                2560	             8
                2580	             8
                2600	             8
                2620	             8
                2640	             8
                2660	             8
                2680	             8
                2700	             8
                2720	             8
                2740	             8
                2760	             8
                2780	             8
                2800	             8
                2820	             8
                2840	             8
                2860	             8
                2880	             8
                2900	             8
                2920	             8
                2940	             8
                2960	             8
                2980	             8
                3000	             8
