Initial objective: 6
------------------------------------------------------------------
Elapsed Time	Temperature	Epoch	Trial	Objective	Acceptance
------------------------------------------------------------------
    0:1:31.1	   1.500000	 1/26	 1/5	        5	         N
   0:3:2.563	   1.500000	 1/26	 2/5	        7	         Y
   0:4:32.81	   1.500000	 1/26	 3/5	        4	         Y
   0:6:1.152	   1.500000	 1/26	 4/5	        7	         Y
  0:7:27.605	   1.500000	 1/26	 5/5	        5	         N
  0:8:59.479	   1.350000	 2/26	 1/5	        8	         Y
 0:10:31.207	   1.350000	 2/26	 2/5	        7	         N
  0:12:1.770	   1.350000	 2/26	 3/5	        5	         N
 0:13:26.413	   1.350000	 2/26	 4/5	        7	         N
 0:14:42.928	   1.350000	 2/26	 5/5	        7	         N
 0:15:59.307	   1.215000	 3/26	 1/5	        6	         N
 0:17:15.931	   1.215000	 3/26	 2/5	        8	         Y
 0:18:32.464	   1.215000	 3/26	 3/5	        7	         N
 0:19:48.817	   1.215000	 3/26	 4/5	        8	         Y
  0:21:5.139	   1.215000	 3/26	 5/5	        6	         N
 0:22:21.691	   1.093500	 4/26	 1/5	        8	         Y
 0:23:52.639	   1.093500	 4/26	 2/5	        5	         N
 0:25:20.460	   1.093500	 4/26	 3/5	        6	         N
 0:26:56.975	   1.093500	 4/26	 4/5	        5	         N
 0:28:20.720	   1.093500	 4/26	 5/5	        8	         Y
 0:29:42.580	   0.984150	 5/26	 1/5	        7	         Y
 0:31:18.570	   0.984150	 5/26	 2/5	        5	         N
  0:32:52.80	   0.984150	 5/26	 3/5	        5	         N
 0:34:25.165	   0.984150	 5/26	 4/5	        4	         N
 0:35:46.130	   0.984150	 5/26	 5/5	        7	         Y
  0:37:3.205	   0.885735	 6/26	 1/5	        7	         Y
  0:38:32.91	   0.885735	 6/26	 2/5	        7	         Y
  0:40:2.300	   0.885735	 6/26	 3/5	        2	         N
 0:41:30.836	   0.885735	 6/26	 4/5	        5	         Y
 0:42:59.553	   0.885735	 6/26	 5/5	        5	         Y
  0:44:28.45	   0.797162	 7/26	 1/5	        5	         Y
 0:45:54.424	   0.797162	 7/26	 2/5	        5	         Y
 0:47:12.125	   0.797162	 7/26	 3/5	        4	         N
 0:48:29.974	   0.797162	 7/26	 4/5	        7	         Y
   0:50:2.74	   0.797162	 7/26	 5/5	        6	         N
 0:51:31.217	   0.717445	 8/26	 1/5	        6	         N
  0:53:0.108	   0.717445	 8/26	 2/5	        6	         Y
 0:54:28.483	   0.717445	 8/26	 3/5	        6	         Y
 0:55:57.115	   0.717445	 8/26	 4/5	        5	         N
  0:57:34.13	   0.717445	 8/26	 5/5	        5	         N
  0:59:7.836	   0.645701	 9/26	 1/5	        5	         N
  1:0:38.142	   0.645701	 9/26	 2/5	        6	         Y
   1:2:6.422	   0.645701	 9/26	 3/5	        7	         Y
  1:3:42.334	   0.645701	 9/26	 4/5	        5	         N
  1:5:17.566	   0.645701	 9/26	 5/5	        7	         Y
  1:6:51.864	   0.581131	10/26	 1/5	        5	         Y
  1:8:23.251	   0.581131	10/26	 2/5	        5	         Y
  1:9:52.698	   0.581131	10/26	 3/5	        7	         Y
 1:11:21.307	   0.581131	10/26	 4/5	        8	         Y
 1:12:48.103	   0.581131	10/26	 5/5	        6	         N
  1:14:6.857	   0.523018	11/26	 1/5	        6	         N
 1:15:33.242	   0.523018	11/26	 2/5	        5	         N
  1:17:4.962	   0.523018	11/26	 3/5	        5	         Y
 1:18:30.465	   0.523018	11/26	 4/5	        6	         Y
 1:19:52.114	   0.523018	11/26	 5/5	        6	         Y
  1:21:9.506	   0.470716	12/26	 1/5	        6	         Y
 1:22:26.334	   0.470716	12/26	 2/5	        7	         Y
 1:23:42.646	   0.470716	12/26	 3/5	        3	         N
 1:24:58.852	   0.470716	12/26	 4/5	        7	         Y
 1:26:15.245	   0.470716	12/26	 5/5	        4	         N
 1:27:31.536	   0.423644	13/26	 1/5	        6	         N
 1:28:47.436	   0.423644	13/26	 2/5	        7	         Y
  1:30:4.441	   0.423644	13/26	 3/5	        6	         N
 1:31:20.915	   0.423644	13/26	 4/5	        7	         Y
 1:32:37.556	   0.423644	13/26	 5/5	        4	         N
 1:33:54.218	   0.381280	14/26	 1/5	        6	         N
 1:35:11.244	   0.381280	14/26	 2/5	        7	         Y
 1:36:27.553	   0.381280	14/26	 3/5	        6	         N
  1:37:44.78	   0.381280	14/26	 4/5	        6	         N
  1:39:0.828	   0.381280	14/26	 5/5	        5	         N
 1:40:17.422	   0.343152	15/26	 1/5	        6	         N
  1:41:34.48	   0.343152	15/26	 2/5	        6	         N
 1:42:50.719	   0.343152	15/26	 3/5	        7	         Y
  1:44:7.810	   0.343152	15/26	 4/5	        7	         Y
 1:45:24.756	   0.343152	15/26	 5/5	        7	         Y
 1:46:43.342	   0.308837	16/26	 1/5	        7	         Y
  1:48:1.694	   0.308837	16/26	 2/5	        7	         Y
 1:49:18.319	   0.308837	16/26	 3/5	        6	         N
 1:50:34.766	   0.308837	16/26	 4/5	        6	         N
 1:51:51.389	   0.308837	16/26	 5/5	        7	         Y
  1:53:8.109	   0.277953	17/26	 1/5	        5	         N
 1:54:24.996	   0.277953	17/26	 2/5	        6	         N
 1:55:57.544	   0.277953	17/26	 3/5	        4	         N
 1:57:28.703	   0.277953	17/26	 4/5	        5	         Y
  1:59:2.495	   0.277953	17/26	 5/5	        5	         Y
  2:0:24.686	   0.250158	18/26	 1/5	        8	         Y
  2:1:43.643	   0.250158	18/26	 2/5	        5	         N
   2:3:9.713	   0.250158	18/26	 3/5	        6	         N
  2:4:26.568	   0.250158	18/26	 4/5	        7	         N
  2:5:43.928	   0.250158	18/26	 5/5	        8	         Y
    2:7:1.57	   0.225142	19/26	 1/5	        6	         Y
  2:8:18.176	   0.225142	19/26	 2/5	        4	         Y
  2:9:35.541	   0.225142	19/26	 3/5	        7	         Y
 2:10:52.629	   0.225142	19/26	 4/5	        7	         Y
 2:12:10.245	   0.225142	19/26	 5/5	        5	         N
 2:13:27.454	   0.202628	20/26	 1/5	        6	         N
 2:14:43.560	   0.202628	20/26	 2/5	        7	         Y
 2:15:59.692	   0.202628	20/26	 3/5	        8	         Y
 2:17:15.642	   0.202628	20/26	 4/5	        6	         N
  2:18:32.26	   0.202628	20/26	 5/5	        5	         N
  2:19:48.98	   0.182365	21/26	 1/5	        6	         N
  2:21:4.741	   0.182365	21/26	 2/5	        8	         Y
 2:22:20.883	   0.182365	21/26	 3/5	        7	         N
   2:23:38.7	   0.182365	21/26	 4/5	        8	         Y
 2:24:54.762	   0.182365	21/26	 5/5	        7	         N
 2:26:11.588	   0.164128	22/26	 1/5	        6	         N
  2:27:28.33	   0.164128	22/26	 2/5	        6	         N
 2:28:44.684	   0.164128	22/26	 3/5	        7	         N
  2:30:1.581	   0.164128	22/26	 4/5	        5	         N
