--------------------------------------
Executions completed	Unique Outputs
--------------------------------------
                  20	             3
                  40	             3
                  60	             3
                  80	             3
                 100	             3
                 120	             3
                 140	             3
                 160	             3
                 180	             3
                 200	             3
                 220	             3
                 240	             3
                 260	             3
                 280	             3
                 300	             4
                 320	             4
                 340	             4
                 360	             4
                 380	             4
                 400	             4
                 420	             4
                 440	             4
                 460	             4
                 480	             4
                 500	             4
                 520	             4
                 540	             4
                 560	             4
                 580	             4
                 600	             4
                 620	             4
                 640	             4
                 660	             4
                 680	             4
                 700	             4
                 720	             4
                 740	             4
                 760	             4
                 780	             4
                 800	             4
                 820	             4
                 840	             4
                 860	             4
                 880	             4
                 900	             4
                 920	             4
                 940	             4
                 960	             4
                 980	             4
                1000	             4
                1020	             4
                1040	             4
                1060	             4
                1080	             4
                1100	             4
                1120	             4
                1140	             4
                1160	             4
                1180	             4
                1200	             4
                1220	             4
                1240	             4
                1260	             4
                1280	             4
                1300	             4
                1320	             4
                1340	             4
                1360	             4
                1380	             4
                1400	             4
                1420	             4
                1440	             4
                1460	             4
                1480	             4
                1500	             4
                1520	             4
                1540	             4
                1560	             4
                1580	             4
                1600	             4
                1620	             4
                1640	             4
                1660	             4
                1680	             4
                1700	             4
                1720	             4
                1740	             4
                1760	             4
                1780	             4
                1800	             4
                1820	             4
                1840	             4
                1860	             4
                1880	             4
                1900	             4
                1920	             4
                1940	             4
                1960	             4
                1980	             4
                2000	             4
                2020	             4
                2040	             4
                2060	             4
                2080	             4
                2100	             4
                2120	             4
                2140	             4
                2160	             4
                2180	             4
                2200	             4
                2220	             4
                2240	             4
                2260	             4
                2280	             4
                2300	             4
                2320	             4
                2340	             4
                2360	             4
                2380	             4
                2400	             4
                2420	             4
                2440	             4
                2460	             4
                2480	             4
                2500	             4
                2520	             4
                2540	             4
                2560	             4
                2580	             4
                2600	             4
                2620	             4
                2640	             4
                2660	             4
                2680	             4
                2700	             4
                2720	             4
                2740	             4
                2760	             4
                2780	             4
                2800	             4
                2820	             4
                2840	             4
                2860	             4
                2880	             4
                2900	             4
                2920	             4
                2940	             4
                2960	             4
                2980	             4
                3000	             4
