Initial objective: 2
------------------------------------------------------------------
Elapsed Time	Temperature	Epoch	Trial	Objective	Acceptance
------------------------------------------------------------------
   0:1:21.40	   1.500000	 1/26	 1/5	        2	         Y
  0:2:40.961	   1.500000	 1/26	 2/5	        3	         Y
   0:4:5.431	   1.500000	 1/26	 3/5	        2	         N
    0:5:25.3	   1.500000	 1/26	 4/5	        3	         Y
  0:6:44.226	   1.500000	 1/26	 5/5	        3	         Y
   0:8:3.467	   1.350000	 2/26	 1/5	        2	         N
  0:9:24.316	   1.350000	 2/26	 2/5	        3	         Y
 0:10:44.464	   1.350000	 2/26	 3/5	        2	         N
  0:12:4.569	   1.350000	 2/26	 4/5	        3	         Y
 0:13:23.284	   1.350000	 2/26	 5/5	        3	         Y
 0:14:42.487	   1.215000	 3/26	 1/5	        3	         Y
   0:16:0.10	   1.215000	 3/26	 2/5	        3	         Y
 0:17:19.939	   1.215000	 3/26	 3/5	        3	         Y
 0:18:40.390	   1.215000	 3/26	 4/5	        2	         N
  0:20:0.815	   1.215000	 3/26	 5/5	        2	         N
 0:21:20.684	   1.093500	 4/26	 1/5	        2	         N
 0:22:42.935	   1.093500	 4/26	 2/5	        3	         Y
  0:24:1.725	   1.093500	 4/26	 3/5	        4	         Y
 0:25:17.463	   1.093500	 4/26	 4/5	        2	         N
 0:26:33.494	   1.093500	 4/26	 5/5	        3	         N
 0:27:49.650	   0.984150	 5/26	 1/5	        3	         N
  0:29:5.408	   0.984150	 5/26	 2/5	        3	         N
  0:30:22.11	   0.984150	 5/26	 3/5	        3	         N
 0:31:41.783	   0.984150	 5/26	 4/5	        3	         N
  0:33:4.114	   0.984150	 5/26	 5/5	        4	         Y
 0:34:27.323	   0.885735	 6/26	 1/5	        3	         N
 0:35:44.919	   0.885735	 6/26	 2/5	        3	         N
  0:37:1.601	   0.885735	 6/26	 3/5	        3	         N
 0:38:26.350	   0.885735	 6/26	 4/5	        2	         N
 0:39:52.879	   0.885735	 6/26	 5/5	        3	         N
 0:41:13.527	   0.797162	 7/26	 1/5	        3	         N
 0:42:38.873	   0.797162	 7/26	 2/5	        2	         N
  0:44:1.165	   0.797162	 7/26	 3/5	        3	         N
 0:45:20.786	   0.797162	 7/26	 4/5	        2	         N
  0:46:41.95	   0.797162	 7/26	 5/5	        3	         N
  0:48:1.288	   0.717445	 8/26	 1/5	        4	         Y
 0:49:21.388	   0.717445	 8/26	 2/5	        3	         N
 0:50:41.423	   0.717445	 8/26	 3/5	        3	         N
 0:51:58.669	   0.717445	 8/26	 4/5	        3	         N
 0:53:20.843	   0.717445	 8/26	 5/5	        3	         N
 0:54:38.199	   0.645701	 9/26	 1/5	        3	         N
 0:55:57.467	   0.645701	 9/26	 2/5	        3	         N
 0:57:13.190	   0.645701	 9/26	 3/5	        3	         N
 0:58:33.907	   0.645701	 9/26	 4/5	        4	         Y
 0:59:56.519	   0.645701	 9/26	 5/5	        3	         N
  1:1:28.445	   0.581131	10/26	 1/5	        3	         N
   1:2:52.89	   0.581131	10/26	 2/5	        3	         N
   1:4:14.90	   0.581131	10/26	 3/5	        3	         N
  1:5:35.327	   0.581131	10/26	 4/5	        3	         N
  1:6:54.783	   0.581131	10/26	 5/5	        2	         N
  1:8:10.906	   0.523018	11/26	 1/5	        3	         N
  1:9:27.461	   0.523018	11/26	 2/5	        3	         N
