--------------------------------------
Executions completed	Unique Outputs
--------------------------------------
                  20	             3
                  40	             3
                  60	             4
                  80	             4
                 100	             4
                 120	             4
                 140	             4
                 160	             4
                 180	             4
                 200	             4
                 220	             4
                 240	             4
                 260	             4
                 280	             4
                 300	             4
                 320	             4
                 340	             4
                 360	             4
                 380	             5
                 400	             5
                 420	             5
                 440	             5
                 460	             5
                 480	             5
                 500	             5
                 520	             6
                 540	             6
                 560	             6
                 580	             6
                 600	             6
                 620	             6
                 640	             6
                 660	             6
                 680	             7
                 700	             7
                 720	             7
                 740	             7
                 760	             7
                 780	             7
                 800	             7
                 820	             7
                 840	             7
                 860	             7
                 880	             7
                 900	             8
                 920	             8
                 940	             8
                 960	             8
                 980	             8
                1000	             8
                1020	             9
                1040	             9
                1060	             9
                1080	             9
                1100	             9
                1120	             9
                1140	             9
                1160	             9
                1180	             9
                1200	             9
                1220	             9
                1240	             9
                1260	             9
                1280	             9
                1300	             9
                1320	             9
                1340	             9
                1360	             9
                1380	             9
                1400	             9
                1420	             9
                1440	             9
                1460	             9
                1480	             9
                1500	             9
                1520	             9
                1540	             9
                1560	             9
                1580	             9
                1600	             9
                1620	             9
                1640	             9
                1660	             9
                1680	             9
                1700	             9
                1720	             9
                1740	             9
                1760	             9
                1780	             9
                1800	             9
                1820	             9
                1840	             9
                1860	             9
                1880	             9
                1900	             9
                1920	             9
                1940	             9
                1960	             9
                1980	             9
                2000	             9
                2020	             9
                2040	             9
                2060	             9
                2080	             9
                2100	             9
                2120	             9
                2140	             9
                2160	             9
                2180	             9
                2200	             9
                2220	             9
                2240	             9
                2260	             9
                2280	             9
                2300	             9
                2320	             9
                2340	             9
                2360	             9
                2380	             9
                2400	             9
                2420	             9
                2440	             9
                2460	             9
                2480	             9
                2500	             9
                2520	             9
                2540	             9
                2560	             9
                2580	             9
                2600	             9
                2620	             9
                2640	             9
                2660	             9
                2680	             9
                2700	             9
                2720	             9
                2740	             9
                2760	             9
                2780	             9
                2800	             9
                2820	             9
                2840	             9
                2860	             9
                2880	             9
                2900	             9
                2920	             9
                2940	             9
                2960	             9
                2980	             9
                3000	             9
