Initial objective: 5
------------------------------------------------------------------
Elapsed Time	Temperature	Epoch	Trial	Objective	Acceptance
------------------------------------------------------------------
  0:1:18.119	   1.500000	 1/26	 1/5	        5	         Y
  0:2:36.765	   1.500000	 1/26	 2/5	        7	         Y
  0:3:58.282	   1.500000	 1/26	 3/5	        7	         Y
  0:5:23.419	   1.500000	 1/26	 4/5	        6	         N
  0:6:45.274	   1.500000	 1/26	 5/5	        5	         N
   0:8:6.166	   1.350000	 2/26	 1/5	        7	         Y
  0:9:27.210	   1.350000	 2/26	 2/5	        6	         N
 0:10:47.810	   1.350000	 2/26	 3/5	        5	         N
  0:12:5.973	   1.350000	 2/26	 4/5	        6	         N
 0:13:25.447	   1.350000	 2/26	 5/5	        6	         N
 0:14:48.342	   1.215000	 3/26	 1/5	        7	         Y
 0:16:28.182	   1.215000	 3/26	 2/5	        6	         N
  0:18:9.721	   1.215000	 3/26	 3/5	        7	         Y
 0:19:45.456	   1.215000	 3/26	 4/5	        6	         N
 0:21:15.758	   1.215000	 3/26	 5/5	        4	         N
 0:22:55.244	   1.093500	 4/26	 1/5	        6	         N
 0:24:12.997	   1.093500	 4/26	 2/5	        5	         N
 0:25:37.849	   1.093500	 4/26	 3/5	        5	         N
 0:26:55.983	   1.093500	 4/26	 4/5	        6	         N
 0:28:13.654	   1.093500	 4/26	 5/5	        5	         N
 0:29:31.927	   0.984150	 5/26	 1/5	        4	         N
  0:31:4.531	   0.984150	 5/26	 2/5	        6	         N
 0:32:30.609	   0.984150	 5/26	 3/5	        6	         N
  0:34:8.323	   0.984150	 5/26	 4/5	        7	         Y
 0:35:47.574	   0.984150	 5/26	 5/5	        6	         N
 0:37:18.985	   0.885735	 6/26	 1/5	        7	         Y
 0:38:50.388	   0.885735	 6/26	 2/5	        6	         N
 0:40:26.556	   0.885735	 6/26	 3/5	        5	         N
 0:41:56.544	   0.885735	 6/26	 4/5	        6	         N
 0:43:28.492	   0.885735	 6/26	 5/5	        6	         N
  0:45:6.613	   0.797162	 7/26	 1/5	        6	         N
 0:46:42.705	   0.797162	 7/26	 2/5	        7	         Y
 0:48:25.650	   0.797162	 7/26	 3/5	        5	         N
   0:50:1.40	   0.797162	 7/26	 4/5	        8	         Y
   0:51:34.2	   0.797162	 7/26	 5/5	        7	         N
  0:53:6.971	   0.717445	 8/26	 1/5	        6	         N
 0:54:39.917	   0.717445	 8/26	 2/5	        6	         N
  0:56:1.303	   0.717445	 8/26	 3/5	        6	         N
 0:57:34.739	   0.717445	 8/26	 4/5	        6	         N
  0:59:9.692	   0.717445	 8/26	 5/5	        6	         N
  1:0:49.155	   0.645701	 9/26	 1/5	        6	         N
