--------------------------------------
Executions completed	Unique Outputs
--------------------------------------
                  20	             5
                  40	             6
                  60	             6
                  80	             6
                 100	             6
                 120	             6
                 140	             6
                 160	             7
                 180	             7
                 200	             8
                 220	             9
                 240	             9
                 260	             9
                 280	             9
                 300	             9
                 320	             9
                 340	             9
                 360	             9
                 380	             9
                 400	             9
                 420	             9
                 440	             9
                 460	             9
                 480	             9
                 500	             9
                 520	             9
                 540	             9
                 560	             9
                 580	             9
                 600	             9
                 620	             9
                 640	             9
                 660	             9
                 680	             9
                 700	             9
                 720	             9
                 740	             9
                 760	             9
                 780	             9
                 800	             9
                 820	             9
                 840	             9
                 860	             9
                 880	             9
                 900	             9
                 920	             9
                 940	             9
                 960	             9
                 980	             9
                1000	             9
                1020	             9
                1040	             9
                1060	             9
                1080	             9
                1100	             9
                1120	             9
                1140	             9
                1160	             9
                1180	             9
                1200	             9
                1220	             9
                1240	             9
                1260	             9
                1280	             9
                1300	             9
                1320	             9
                1340	             9
                1360	             9
                1380	             9
                1400	             9
                1420	             9
                1440	             9
                1460	             9
                1480	             9
                1500	             9
                1520	             9
                1540	             9
                1560	             9
                1580	             9
                1600	             9
                1620	             9
                1640	             9
                1660	             9
                1680	             9
                1700	             9
                1720	             9
                1740	             9
                1760	             9
                1780	             9
                1800	             9
                1820	             9
                1840	             9
                1860	             9
                1880	             9
                1900	             9
                1920	             9
                1940	             9
                1960	             9
                1980	             9
                2000	             9
                2020	             9
                2040	             9
                2060	             9
                2080	             9
                2100	             9
                2120	             9
                2140	             9
                2160	             9
                2180	             9
                2200	             9
                2220	             9
                2240	             9
                2260	             9
                2280	             9
                2300	             9
                2320	             9
                2340	             9
                2360	             9
                2380	             9
                2400	             9
                2420	             9
                2440	             9
                2460	             9
                2480	             9
                2500	             9
                2520	             9
                2540	             9
                2560	             9
                2580	             9
                2600	             9
                2620	             9
                2640	             9
                2660	             9
                2680	             9
                2700	             9
                2720	             9
                2740	             9
                2760	             9
                2780	             9
                2800	             9
                2820	             9
                2840	             9
                2860	             9
                2880	             9
                2900	             9
                2920	             9
                2940	             9
                2960	             9
                2980	             9
                3000	             9
                3020	             9
                3040	             9
                3060	             9
                3080	             9
                3100	             9
                3120	             9
                3140	             9
                3160	             9
                3180	             9
                3200	             9
                3220	             9
                3240	             9
                3260	             9
                3280	             9
                3300	             9
                3320	             9
                3340	             9
                3360	             9
                3380	             9
                3400	             9
                3420	             9
                3440	             9
                3460	             9
                3480	             9
                3500	             9
                3520	             9
                3540	             9
                3560	             9
                3580	             9
                3600	             9
                3620	             9
                3640	             9
                3660	             9
                3680	             9
                3700	             9
                3720	             9
                3740	             9
                3760	             9
                3780	             9
                3800	             9
                3820	             9
                3840	             9
                3860	             9
                3880	             9
                3900	             9
                3920	             9
                3940	             9
                3960	             9
                3980	             9
                4000	             9
                4020	             9
                4040	             9
                4060	             9
                4080	             9
                4100	             9
                4120	             9
                4140	             9
                4160	             9
                4180	             9
                4200	             9
                4220	             9
                4240	             9
                4260	             9
                4280	             9
                4300	             9
                4320	             9
                4340	             9
                4360	             9
                4380	             9
                4400	             9
                4420	             9
                4440	             9
                4460	             9
                4480	             9
                4500	             9
                4520	             9
                4540	             9
                4560	             9
                4580	             9
                4600	             9
                4620	            10
                4640	            10
                4660	            10
                4680	            10
                4700	            11
                4720	            11
                4740	            11
                4760	            11
                4780	            11
                4800	            11
                4820	            11
                4840	            11
                4860	            11
                4880	            11
                4900	            11
                4920	            11
                4940	            11
                4960	            11
                4980	            11
                5000	            11
                5020	            11
                5040	            11
                5060	            11
                5080	            11
                5100	            11
                5120	            11
                5140	            11
                5160	            11
                5180	            11
                5200	            11
                5220	            11
                5240	            11
                5260	            11
                5280	            11
                5300	            11
                5320	            11
                5340	            11
                5360	            11
                5380	            11
                5400	            11
                5420	            11
                5440	            11
                5460	            11
                5480	            11
                5500	            11
                5520	            11
                5540	            11
                5560	            11
                5580	            11
                5600	            11
                5620	            11
                5640	            11
                5660	            11
                5680	            11
                5700	            11
                5720	            11
                5740	            11
                5760	            11
                5780	            11
                5800	            11
                5820	            11
                5840	            11
                5860	            11
                5880	            11
                5900	            11
                5920	            11
                5940	            11
                5960	            11
                5980	            11
                6000	            11
                6020	            11
                6040	            11
                6060	            11
                6080	            11
                6100	            11
                6120	            11
                6140	            11
                6160	            11
                6180	            11
                6200	            11
                6220	            11
                6240	            11
                6260	            11
                6280	            11
                6300	            11
