--------------------------------------
Executions completed	Unique Outputs
--------------------------------------
                  20	             3
                  40	             4
                  60	             5
                  80	             5
                 100	             5
                 120	             5
                 140	             5
                 160	             6
                 180	             6
                 200	             6
                 220	             6
                 240	             6
                 260	             6
                 280	             6
                 300	             6
                 320	             6
                 340	             6
                 360	             6
                 380	             6
                 400	             6
                 420	             6
                 440	             6
                 460	             6
                 480	             6
                 500	             6
                 520	             6
                 540	             6
                 560	             6
                 580	             8
                 600	             8
                 620	             8
                 640	             8
                 660	             8
                 680	             9
                 700	             9
                 720	             9
                 740	             9
                 760	             9
                 780	             9
                 800	            10
                 820	            10
                 840	            11
                 860	            11
                 880	            11
                 900	            11
                 920	            11
                 940	            11
                 960	            11
                 980	            11
                1000	            11
                1020	            11
                1040	            11
                1060	            11
                1080	            11
                1100	            11
                1120	            11
                1140	            11
                1160	            12
                1180	            12
                1200	            13
                1220	            13
                1240	            13
                1260	            13
                1280	            13
                1300	            13
                1320	            13
                1340	            13
                1360	            13
                1380	            13
                1400	            13
                1420	            13
                1440	            13
                1460	            13
                1480	            13
                1500	            13
                1520	            13
                1540	            18
                1560	            19
                1580	            22
                1600	            23
                1620	            23
                1640	            23
                1660	            23
                1680	            23
                1700	            24
                1720	            24
                1740	            24
                1760	            24
                1780	            24
                1800	            24
                1820	            24
                1840	            24
                1860	            24
                1880	            24
                1900	            24
                1920	            24
                1940	            24
                1960	            24
                1980	            24
                2000	            24
                2020	            24
                2040	            24
                2060	            24
                2080	            24
                2100	            24
                2120	            24
                2140	            24
                2160	            24
                2180	            24
                2200	            24
                2220	            24
                2240	            24
                2260	            24
                2280	            24
                2300	            24
                2320	            24
                2340	            24
                2360	            24
                2380	            24
                2400	            24
                2420	            24
                2440	            24
                2460	            24
                2480	            24
                2500	            24
                2520	            24
                2540	            24
                2560	            24
                2580	            24
                2600	            24
                2620	            24
                2640	            24
                2660	            24
                2680	            24
                2700	            24
                2720	            24
                2740	            24
                2760	            24
                2780	            24
                2800	            24
                2820	            24
                2840	            24
                2860	            24
                2880	            24
                2900	            24
                2920	            24
                2940	            24
                2960	            24
                2980	            24
                3000	            24
