Initial objective: 5
------------------------------------------------------------------
Elapsed Time	Temperature	Epoch	Trial	Objective	Acceptance
------------------------------------------------------------------
  0:1:37.305	   1.500000	 1/26	 1/5	        4	         N
  0:3:12.426	   1.500000	 1/26	 2/5	        7	         Y
  0:4:46.170	   1.500000	 1/26	 3/5	        3	         N
  0:6:20.513	   1.500000	 1/26	 4/5	        3	         N
  0:7:53.198	   1.500000	 1/26	 5/5	        4	         N
  0:9:25.140	   1.350000	 2/26	 1/5	        3	         N
 0:10:54.451	   1.350000	 2/26	 2/5	        7	         Y
 0:12:29.561	   1.350000	 2/26	 3/5	        6	         N
  0:14:4.119	   1.350000	 2/26	 4/5	        3	         N
 0:15:37.924	   1.350000	 2/26	 5/5	        5	         N
  0:17:3.390	   1.215000	 3/26	 1/5	        4	         N
 0:18:22.529	   1.215000	 3/26	 2/5	        3	         N
 0:19:41.732	   1.215000	 3/26	 3/5	        4	         N
  0:21:0.903	   1.215000	 3/26	 4/5	        5	         Y
 0:22:20.230	   1.215000	 3/26	 5/5	        4	         N
 0:23:39.294	   1.093500	 4/26	 1/5	        5	         Y
 0:24:58.336	   1.093500	 4/26	 2/5	        4	         N
 0:26:23.273	   1.093500	 4/26	 3/5	        4	         N
 0:27:56.337	   1.093500	 4/26	 4/5	        7	         Y
 0:29:28.483	   1.093500	 4/26	 5/5	        5	         Y
  0:31:7.479	   0.984150	 5/26	 1/5	        5	         Y
 0:32:27.351	   0.984150	 5/26	 2/5	        6	         Y
  0:34:2.247	   0.984150	 5/26	 3/5	        6	         Y
  0:35:40.10	   0.984150	 5/26	 4/5	        4	         N
 0:37:16.589	   0.984150	 5/26	 5/5	        3	         N
 0:38:45.673	   0.885735	 6/26	 1/5	        5	         N
  0:40:5.505	   0.885735	 6/26	 2/5	        4	         N
 0:41:30.853	   0.885735	 6/26	 3/5	        4	         N
  0:43:6.554	   0.885735	 6/26	 4/5	        4	         N
 0:44:38.338	   0.885735	 6/26	 5/5	        4	         N
  0:46:10.96	   0.797162	 7/26	 1/5	        6	         Y
 0:47:41.823	   0.797162	 7/26	 2/5	        4	         N
 0:49:12.271	   0.797162	 7/26	 3/5	        5	         N
 0:50:32.443	   0.797162	 7/26	 4/5	        4	         N
 0:51:51.959	   0.797162	 7/26	 5/5	        5	         N
  0:53:27.21	   0.717445	 8/26	 1/5	        3	         N
 0:54:58.858	   0.717445	 8/26	 2/5	        4	         N
 0:56:30.914	   0.717445	 8/26	 3/5	        3	         N
   0:58:2.75	   0.717445	 8/26	 4/5	        6	         Y
 0:59:34.167	   0.717445	 8/26	 5/5	        5	         N
  1:1:14.166	   0.645701	 9/26	 1/5	        4	         N
  1:2:50.903	   0.645701	 9/26	 2/5	        4	         N
  1:4:24.643	   0.645701	 9/26	 3/5	        5	         N
   1:6:3.939	   0.645701	 9/26	 4/5	        4	         N
  1:7:32.450	   0.645701	 9/26	 5/5	        4	         N
  1:9:13.732	   0.581131	10/26	 1/5	        8	         Y
  1:10:50.81	   0.581131	10/26	 2/5	        5	         N
 1:12:21.478	   0.581131	10/26	 3/5	        5	         N
 1:13:56.376	   0.581131	10/26	 4/5	        5	         N
 1:15:28.168	   0.581131	10/26	 5/5	        4	         Y
 1:16:51.847	   0.523018	11/26	 1/5	        5	         Y
 1:18:17.363	   0.523018	11/26	 2/5	        5	         Y
 1:19:47.953	   0.523018	11/26	 3/5	        5	         Y
 1:21:20.585	   0.523018	11/26	 4/5	        3	         N
 1:22:46.760	   0.523018	11/26	 5/5	        4	         N
  1:24:7.924	   0.470716	12/26	 1/5	        4	         N
 1:25:27.364	   0.470716	12/26	 2/5	        5	         Y
 1:26:46.468	   0.470716	12/26	 3/5	        4	         N
  1:28:5.142	   0.470716	12/26	 4/5	        5	         Y
 1:29:24.107	   0.470716	12/26	 5/5	        5	         Y
 1:30:42.948	   0.423644	13/26	 1/5	        4	         N
  1:32:1.580	   0.423644	13/26	 2/5	        4	         N
 1:33:20.817	   0.423644	13/26	 3/5	        5	         Y
 1:34:39.877	   0.423644	13/26	 4/5	        6	         Y
 1:35:59.517	   0.423644	13/26	 5/5	        4	         N
 1:37:18.605	   0.381280	14/26	 1/5	        5	         N
 1:38:38.163	   0.381280	14/26	 2/5	        4	         N
