--------------------------------------
Executions completed	Unique Outputs
--------------------------------------
                  20	             7
                  40	             7
                  60	             7
                  80	             7
                 100	             7
                 120	             7
                 140	             7
                 160	            10
                 180	            10
                 200	            11
                 220	            11
                 240	            12
                 260	            12
                 280	            12
                 300	            12
                 320	            12
                 340	            12
                 360	            12
                 380	            12
                 400	            12
                 420	            12
                 440	            12
                 460	            12
                 480	            12
                 500	            12
                 520	            12
                 540	            12
                 560	            13
                 580	            13
                 600	            13
                 620	            13
                 640	            13
                 660	            13
                 680	            13
                 700	            13
                 720	            13
                 740	            13
                 760	            13
                 780	            13
                 800	            13
                 820	            13
                 840	            13
                 860	            13
                 880	            13
                 900	            13
                 920	            13
                 940	            13
                 960	            13
                 980	            13
                1000	            13
                1020	            13
                1040	            13
                1060	            13
                1080	            13
                1100	            13
                1120	            13
                1140	            13
                1160	            14
                1180	            14
                1200	            14
                1220	            14
                1240	            14
                1260	            14
                1280	            14
                1300	            14
                1320	            14
                1340	            14
                1360	            14
                1380	            14
                1400	            14
                1420	            14
                1440	            14
                1460	            14
                1480	            14
                1500	            14
                1520	            14
                1540	            14
                1560	            14
                1580	            14
                1600	            14
                1620	            14
                1640	            14
                1660	            14
                1680	            14
                1700	            14
                1720	            14
                1740	            14
                1760	            14
                1780	            14
                1800	            14
                1820	            14
                1840	            14
                1860	            14
                1880	            14
                1900	            14
                1920	            14
                1940	            14
                1960	            14
                1980	            14
                2000	            14
                2020	            14
                2040	            14
                2060	            14
                2080	            14
                2100	            14
                2120	            14
                2140	            14
                2160	            14
                2180	            14
                2200	            14
                2220	            14
                2240	            14
                2260	            14
                2280	            14
                2300	            14
                2320	            14
                2340	            14
                2360	            14
                2380	            14
                2400	            14
                2420	            14
                2440	            14
                2460	            14
                2480	            14
                2500	            14
                2520	            14
                2540	            14
                2560	            14
                2580	            14
                2600	            14
                2620	            14
                2640	            14
                2660	            14
                2680	            14
                2700	            14
                2720	            14
                2740	            14
                2760	            14
                2780	            14
                2800	            14
                2820	            14
                2840	            14
                2860	            14
                2880	            14
                2900	            14
                2920	            14
                2940	            14
                2960	            14
                2980	            14
                3000	            14
