--------------------------------------
Executions completed	Unique Outputs
--------------------------------------
                  20	             1
                  40	             1
                  60	             1
                  80	             1
                 100	             1
                 120	             1
                 140	             1
                 160	             1
                 180	             1
                 200	             1
                 220	             1
                 240	             1
                 260	             1
                 280	             1
                 300	             1
                 320	             1
                 340	             1
                 360	             1
                 380	             1
                 400	             1
                 420	             1
                 440	             1
                 460	             1
                 480	             1
                 500	             1
                 520	             1
                 540	             1
                 560	             1
                 580	             1
                 600	             1
                 620	             1
                 640	             1
                 660	             1
                 680	             1
                 700	             1
                 720	             1
                 740	             1
                 760	             1
                 780	             1
                 800	             1
                 820	             1
                 840	             1
                 860	             1
                 880	             1
                 900	             1
                 920	             1
                 940	             1
                 960	             1
                 980	             1
                1000	             1
                1020	             1
                1040	             1
                1060	             1
                1080	             1
                1100	             1
                1120	             1
                1140	             1
                1160	             1
                1180	             1
                1200	             1
                1220	             1
                1240	             1
                1260	             1
                1280	             1
                1300	             1
                1320	             1
                1340	             1
                1360	             1
                1380	             1
                1400	             1
                1420	             1
                1440	             1
                1460	             1
                1480	             1
                1500	             1
                1520	             1
                1540	             1
                1560	             1
                1580	             1
                1600	             2
                1620	             2
                1640	             2
                1660	             2
                1680	             2
                1700	             2
                1720	             2
                1740	             2
                1760	             2
                1780	             2
                1800	             2
                1820	             2
                1840	             2
                1860	             2
                1880	             2
                1900	             2
                1920	             2
                1940	             2
                1960	             2
                1980	             2
                2000	             2
                2020	             2
                2040	             2
                2060	             2
                2080	             2
                2100	             2
                2120	             2
                2140	             2
                2160	             2
                2180	             2
                2200	             2
                2220	             2
                2240	             2
                2260	             2
                2280	             2
                2300	             2
                2320	             2
                2340	             2
                2360	             2
                2380	             2
                2400	             2
                2420	             2
                2440	             2
                2460	             2
                2480	             2
                2500	             2
                2520	             2
                2540	             2
                2560	             2
                2580	             2
                2600	             3
                2620	             3
                2640	             3
                2660	             3
                2680	             3
                2700	             3
                2720	             3
                2740	             3
                2760	             3
                2780	             3
                2800	             3
                2820	             3
                2840	             3
                2860	             3
                2880	             3
                2900	             3
                2920	             3
                2940	             3
                2960	             3
                2980	             4
                3000	             4
