Initial objective: 2
------------------------------------------------------------------
Elapsed Time	Temperature	Epoch	Trial	Objective	Acceptance
------------------------------------------------------------------
  0:1:23.645	   1.500000	 1/26	 1/5	        2	         Y
  0:2:42.875	   1.500000	 1/26	 2/5	        2	         Y
   0:4:2.251	   1.500000	 1/26	 3/5	        2	         Y
  0:5:22.224	   1.500000	 1/26	 4/5	        2	         Y
  0:6:43.374	   1.500000	 1/26	 5/5	        2	         Y
    0:8:3.90	   1.350000	 2/26	 1/5	        2	         Y
  0:9:22.531	   1.350000	 2/26	 2/5	        3	         Y
 0:10:41.941	   1.350000	 2/26	 3/5	        2	         N
   0:12:0.73	   1.350000	 2/26	 4/5	        2	         N
 0:13:18.831	   1.350000	 2/26	 5/5	        2	         N
 0:14:38.344	   1.215000	 3/26	 1/5	        2	         N
 0:15:58.530	   1.215000	 3/26	 2/5	        2	         N
 0:17:19.666	   1.215000	 3/26	 3/5	        2	         N
 0:18:40.156	   1.215000	 3/26	 4/5	        2	         N
  0:20:1.369	   1.215000	 3/26	 5/5	        2	         N
 0:21:19.140	   1.093500	 4/26	 1/5	        2	         N
 0:22:35.193	   1.093500	 4/26	 2/5	        2	         N
 0:23:51.101	   1.093500	 4/26	 3/5	        2	         N
  0:25:7.238	   1.093500	 4/26	 4/5	        2	         N
 0:26:23.497	   1.093500	 4/26	 5/5	        2	         N
 0:27:40.274	   0.984150	 5/26	 1/5	        2	         N
   0:29:1.46	   0.984150	 5/26	 2/5	        2	         N
 0:30:22.873	   0.984150	 5/26	 3/5	        2	         N
 0:31:45.205	   0.984150	 5/26	 4/5	        2	         N
  0:33:2.628	   0.984150	 5/26	 5/5	        2	         N
 0:34:22.923	   0.885735	 6/26	 1/5	        3	         Y
 0:35:47.454	   0.885735	 6/26	 2/5	        2	         N
 0:37:11.121	   0.885735	 6/26	 3/5	        2	         N
 0:38:32.942	   0.885735	 6/26	 4/5	        2	         N
 0:39:58.852	   0.885735	 6/26	 5/5	        2	         N
 0:41:19.933	   0.797162	 7/26	 1/5	        2	         N
 0:42:38.609	   0.797162	 7/26	 2/5	        2	         N
 0:43:59.867	   0.797162	 7/26	 3/5	        2	         N
 0:45:19.596	   0.797162	 7/26	 4/5	        2	         N
 0:46:39.980	   0.797162	 7/26	 5/5	        2	         N
  0:47:59.74	   0.717445	 8/26	 1/5	        2	         N
 0:49:17.442	   0.717445	 8/26	 2/5	        2	         N
 0:50:38.754	   0.717445	 8/26	 3/5	        2	         N
 0:51:57.213	   0.717445	 8/26	 4/5	        1	         N
 0:53:14.885	   0.717445	 8/26	 5/5	        1	         N
 0:54:30.795	   0.645701	 9/26	 1/5	        1	         N
   0:55:53.3	   0.645701	 9/26	 2/5	        2	         N
 0:57:14.673	   0.645701	 9/26	 3/5	        2	         N
 0:58:47.420	   0.645701	 9/26	 4/5	        1	         N
  1:0:10.575	   0.645701	 9/26	 5/5	        1	         N
   1:1:33.12	   0.581131	10/26	 1/5	        2	         N
  1:2:53.589	   0.581131	10/26	 2/5	        1	         N
  1:4:12.347	   0.581131	10/26	 3/5	        1	         N
  1:5:28.468	   0.581131	10/26	 4/5	        1	         N
  1:6:45.907	   0.581131	10/26	 5/5	        1	         N
   1:8:2.705	   0.523018	11/26	 1/5	        1	         N
  1:9:20.412	   0.523018	11/26	 2/5	        2	         N
 1:10:37.385	   0.523018	11/26	 3/5	        1	         N
