--------------------------------------
Executions completed	Unique Outputs
--------------------------------------
                  20	             2
                  40	             2
                  60	             2
                  80	             2
                 100	             2
                 120	             2
                 140	             2
                 160	             2
                 180	             2
                 200	             2
                 220	             2
                 240	             2
                 260	             2
                 280	             2
                 300	             2
                 320	             2
                 340	             2
                 360	             2
                 380	             2
                 400	             2
                 420	             2
                 440	             2
                 460	             2
                 480	             2
                 500	             2
                 520	             2
                 540	             2
                 560	             2
                 580	             2
                 600	             2
                 620	             2
                 640	             2
                 660	             2
                 680	             2
                 700	             2
                 720	             2
                 740	             2
                 760	             2
                 780	             2
                 800	             2
                 820	             2
                 840	             2
                 860	             2
                 880	             2
                 900	             2
                 920	             2
                 940	             2
                 960	             2
                 980	             2
                1000	             2
                1020	             2
                1040	             2
                1060	             2
                1080	             2
                1100	             2
                1120	             2
                1140	             2
                1160	             2
                1180	             2
                1200	             2
                1220	             2
                1240	             2
                1260	             2
                1280	             2
                1300	             2
                1320	             2
                1340	             2
                1360	             2
                1380	             2
                1400	             2
                1420	             2
                1440	             2
                1460	             2
                1480	             2
                1500	             2
                1520	             2
                1540	             2
                1560	             2
                1580	             2
                1600	             2
                1620	             2
                1640	             2
                1660	             2
                1680	             2
                1700	             2
                1720	             2
                1740	             2
                1760	             2
                1780	             2
                1800	             2
                1820	             2
                1840	             2
                1860	             2
                1880	             2
                1900	             2
                1920	             2
                1940	             2
                1960	             2
                1980	             2
                2000	             2
                2020	             2
                2040	             2
                2060	             2
                2080	             2
                2100	             2
                2120	             2
                2140	             2
                2160	             2
                2180	             2
                2200	             2
                2220	             2
                2240	             2
                2260	             2
                2280	             2
                2300	             2
                2320	             2
                2340	             2
                2360	             2
                2380	             2
                2400	             2
                2420	             2
                2440	             2
                2460	             2
                2480	             2
                2500	             2
                2520	             2
                2540	             2
                2560	             2
                2580	             2
                2600	             2
                2620	             2
                2640	             2
                2660	             3
                2680	             3
                2700	             3
                2720	             3
                2740	             3
                2760	             3
                2780	             3
                2800	             3
                2820	             3
                2840	             3
                2860	             3
                2880	             3
                2900	             3
                2920	             3
                2940	             3
                2960	             3
                2980	             3
                3000	             3
