Initial objective: 39
------------------------------------------------------------------
Elapsed Time	Temperature	Epoch	Trial	Objective	Acceptance
------------------------------------------------------------------
  0:0:36.686	   1.500000	 1/26	 1/10	       41	         Y
  0:1:20.151	   1.500000	 1/26	 2/10	       45	         Y
   0:2:4.641	   1.500000	 1/26	 3/10	       41	         Y
  0:2:42.572	   1.500000	 1/26	 4/10	       40	         Y
  0:3:18.167	   1.500000	 1/26	 5/10	       40	         N
   0:3:54.89	   1.500000	 1/26	 6/10	       42	         Y
  0:4:29.894	   1.500000	 1/26	 7/10	       43	         Y
   0:5:5.919	   1.500000	 1/26	 8/10	       39	         N
   0:5:42.91	   1.500000	 1/26	 9/10	       41	         Y
  0:6:17.398	   1.500000	 1/26	10/10	       39	         N
  0:6:53.942	   1.350000	 2/26	 1/10	       43	         Y
   0:7:31.96	   1.350000	 2/26	 2/10	       40	         N
  0:8:12.436	   1.350000	 2/26	 3/10	       41	         Y
  0:8:48.341	   1.350000	 2/26	 4/10	       41	         N
  0:9:25.693	   1.350000	 2/26	 5/10	       41	         N
  0:10:7.996	   1.350000	 2/26	 6/10	       45	         Y
 0:10:46.865	   1.350000	 2/26	 7/10	       42	         Y
 0:11:24.550	   1.350000	 2/26	 8/10	       42	         N
  0:12:5.939	   1.350000	 2/26	 9/10	       42	         N
 0:12:46.620	   1.350000	 2/26	10/10	       40	         Y
 0:13:25.972	   1.215000	 3/26	 1/10	       40	         N
   0:14:8.38	   1.215000	 3/26	 2/10	       41	         Y
 0:14:43.582	   1.215000	 3/26	 3/10	       41	         N
 0:15:18.352	   1.215000	 3/26	 4/10	       41	         N
 0:15:56.147	   1.215000	 3/26	 5/10	       42	         Y
 0:16:34.734	   1.215000	 3/26	 6/10	       38	         N
 0:17:11.300	   1.215000	 3/26	 7/10	       40	         Y
 0:17:52.590	   1.215000	 3/26	 8/10	       38	         N
 0:18:29.661	   1.215000	 3/26	 9/10	       42	         Y
 0:19:12.257	   1.215000	 3/26	10/10	       40	         N
 0:19:54.720	   1.093500	 4/26	 1/10	       40	         N
  0:20:40.98	   1.093500	 4/26	 2/10	       39	         N
 0:21:15.825	   1.093500	 4/26	 3/10	       44	         Y
 0:21:53.647	   1.093500	 4/26	 4/10	       42	         N
 0:22:33.327	   1.093500	 4/26	 5/10	       41	         N
 0:23:13.181	   1.093500	 4/26	 6/10	       41	         N
 0:23:54.306	   1.093500	 4/26	 7/10	       40	         N
  0:24:35.17	   1.093500	 4/26	 8/10	       41	         N
 0:25:10.402	   1.093500	 4/26	 9/10	       38	         N
 0:25:47.950	   1.093500	 4/26	10/10	       41	         N
 0:26:30.109	   0.984150	 5/26	 1/10	       39	         N
  0:27:6.174	   0.984150	 5/26	 2/10	       42	         N
 0:27:41.501	   0.984150	 5/26	 3/10	       43	         Y
 0:28:17.133	   0.984150	 5/26	 4/10	       44	         Y
 0:28:53.523	   0.984150	 5/26	 5/10	       42	         Y
 0:29:29.689	   0.984150	 5/26	 6/10	       43	         Y
 0:30:12.779	   0.984150	 5/26	 7/10	       40	         N
 0:30:54.639	   0.984150	 5/26	 8/10	       40	         N
 0:31:31.959	   0.984150	 5/26	 9/10	       39	         N
 0:32:26.528	   0.984150	 5/26	10/10	       44	         Y
