Initial objective: 5
------------------------------------------------------------------
Elapsed Time	Temperature	Epoch	Trial	Objective	Acceptance
------------------------------------------------------------------
  0:0:27.727	   3.000000	 1/33	 1/10	        5	         Y
  0:0:54.377	   3.000000	 1/33	 2/10	        5	         Y
  0:1:21.168	   3.000000	 1/33	 3/10	        5	         Y
  0:1:48.110	   3.000000	 1/33	 4/10	        5	         Y
   0:2:15.56	   3.000000	 1/33	 5/10	        5	         Y
  0:2:45.271	   3.000000	 1/33	 6/10	        6	         Y
  0:3:15.394	   3.000000	 1/33	 7/10	        5	         N
  0:3:46.954	   3.000000	 1/33	 8/10	        5	         N
  0:4:16.380	   3.000000	 1/33	 9/10	        5	         N
  0:4:46.485	   3.000000	 1/33	10/10	        6	         Y
  0:5:15.698	   2.700000	 2/33	 1/10	        6	         Y
   0:5:45.17	   2.700000	 2/33	 2/10	        5	         N
  0:6:14.106	   2.700000	 2/33	 3/10	        5	         N
  0:6:43.595	   2.700000	 2/33	 4/10	        5	         N
  0:7:13.305	   2.700000	 2/33	 5/10	        5	         N
  0:7:42.972	   2.700000	 2/33	 6/10	        5	         N
  0:8:11.836	   2.700000	 2/33	 7/10	        5	         N
  0:8:40.600	   2.700000	 2/33	 8/10	        5	         N
   0:9:9.724	   2.700000	 2/33	 9/10	        5	         N
  0:9:39.441	   2.700000	 2/33	10/10	        6	         Y
  0:10:8.641	   2.430000	 3/33	 1/10	        5	         N
 0:10:37.530	   2.430000	 3/33	 2/10	        5	         N
  0:11:6.170	   2.430000	 3/33	 3/10	        5	         N
 0:11:42.656	   2.430000	 3/33	 4/10	        6	         Y
 0:12:13.838	   2.430000	 3/33	 5/10	        5	         N
  0:12:45.46	   2.430000	 3/33	 6/10	        5	         N
 0:13:16.932	   2.430000	 3/33	 7/10	        5	         N
 0:13:49.295	   2.430000	 3/33	 8/10	        5	         N
 0:14:21.370	   2.430000	 3/33	 9/10	        5	         N
 0:14:53.177	   2.430000	 3/33	10/10	        5	         N
 0:15:24.558	   2.187000	 4/33	 1/10	        5	         N
 0:15:56.460	   2.187000	 4/33	 2/10	        5	         N
 0:16:28.953	   2.187000	 4/33	 3/10	        6	         Y
 0:16:59.779	   2.187000	 4/33	 4/10	        5	         N
 0:17:33.795	   2.187000	 4/33	 5/10	        5	         N
  0:18:8.147	   2.187000	 4/33	 6/10	        5	         N
 0:18:38.714	   2.187000	 4/33	 7/10	        5	         N
  0:19:9.403	   2.187000	 4/33	 8/10	        5	         N
 0:19:39.898	   2.187000	 4/33	 9/10	        6	         Y
  0:20:8.990	   2.187000	 4/33	10/10	        5	         N
 0:20:40.205	   1.968300	 5/33	 1/10	        5	         N
 0:21:15.297	   1.968300	 5/33	 2/10	        6	         Y
 0:21:52.394	   1.968300	 5/33	 3/10	        5	         N
 0:22:25.329	   1.968300	 5/33	 4/10	        6	         Y
 0:22:55.733	   1.968300	 5/33	 5/10	        5	         N
 0:23:26.579	   1.968300	 5/33	 6/10	        5	         N
 0:23:56.286	   1.968300	 5/33	 7/10	        5	         N
 0:24:27.522	   1.968300	 5/33	 8/10	        5	         N
  0:24:57.55	   1.968300	 5/33	 9/10	        5	         N
 0:25:26.460	   1.968300	 5/33	10/10	        5	         N
  0:25:55.31	   1.771470	 6/33	 1/10	        5	         N
 0:26:22.768	   1.771470	 6/33	 2/10	        5	         N
 0:26:50.106	   1.771470	 6/33	 3/10	        5	         N
 0:27:17.929	   1.771470	 6/33	 4/10	        5	         N
 0:27:44.997	   1.771470	 6/33	 5/10	        5	         N
 0:28:11.931	   1.771470	 6/33	 6/10	        5	         N
 0:28:38.942	   1.771470	 6/33	 7/10	        5	         N
  0:29:5.794	   1.771470	 6/33	 8/10	        5	         N
 0:29:32.792	   1.771470	 6/33	 9/10	        6	         Y
 0:29:59.520	   1.771470	 6/33	10/10	        6	         Y
 0:30:26.425	   1.594323	 7/33	 1/10	        6	         Y
 0:30:53.310	   1.594323	 7/33	 2/10	        5	         N
  0:31:20.46	   1.594323	 7/33	 3/10	        5	         N
 0:31:46.951	   1.594323	 7/33	 4/10	        5	         N
 0:32:13.855	   1.594323	 7/33	 5/10	        5	         N
 0:32:40.980	   1.594323	 7/33	 6/10	        5	         N
  0:33:7.860	   1.594323	 7/33	 7/10	        5	         N
 0:33:34.838	   1.594323	 7/33	 8/10	        6	         Y
  0:34:1.703	   1.594323	 7/33	 9/10	        5	         N
 0:34:28.622	   1.594323	 7/33	10/10	        5	         N
 0:34:55.458	   1.434891	 8/33	 1/10	        5	         N
 0:35:22.384	   1.434891	 8/33	 2/10	        5	         N
 0:35:49.270	   1.434891	 8/33	 3/10	        5	         N
 0:36:16.348	   1.434891	 8/33	 4/10	        5	         N
 0:36:43.337	   1.434891	 8/33	 5/10	        6	         Y
 0:37:10.132	   1.434891	 8/33	 6/10	        5	         N
 0:37:36.944	   1.434891	 8/33	 7/10	        5	         N
  0:38:3.481	   1.434891	 8/33	 8/10	        5	         N
 0:38:30.245	   1.434891	 8/33	 9/10	        5	         N
 0:38:56.837	   1.434891	 8/33	10/10	        5	         N
