--------------------------------------
Executions completed	Unique Outputs
--------------------------------------
                  50	             9
                 100	             9
                 150	            13
                 200	            26
                 250	            29
                 300	            31
                 350	            31
                 400	            31
                 450	            31
                 500	            31
                 550	            34
                 600	            35
                 650	            35
                 700	            35
                 750	            35
                 800	            35
                 850	            37
                 900	            37
                 950	            37
                1000	            37
                1050	            37
                1100	            37
                1150	            38
                1200	            39
                1250	            39
                1300	            39
                1350	            39
                1400	            39
                1450	            39
                1500	            39
                1550	            39
                1600	            39
                1650	            39
                1700	            39
                1750	            39
                1800	            39
                1850	            39
                1900	            39
                1950	            39
                2000	            41
                2050	            41
                2100	            41
                2150	            41
                2200	            41
                2250	            42
                2300	            42
                2350	            42
                2400	            42
                2450	            42
                2500	            42
                2550	            42
                2600	            42
                2650	            42
                2700	            43
                2750	            43
                2800	            43
                2850	            43
                2900	            46
                2950	            46
                3000	            46
                3050	            46
                3100	            46
                3150	            46
                3200	            46
                3250	            46
                3300	            46
                3350	            46
                3400	            46
                3450	            46
                3500	            47
                3550	            47
                3600	            47
                3650	            47
                3700	            47
                3750	            47
                3800	            47
                3850	            47
                3900	            47
                3950	            47
                4000	            47
                4050	            47
                4100	            47
                4150	            47
                4200	            47
                4250	            47
                4300	            47
                4350	            47
                4400	            47
                4450	            47
                4500	            47
                4550	            47
                4600	            47
                4650	            47
                4700	            47
                4750	            49
                4800	            49
                4850	            49
                4900	            49
                4950	            49
                5000	            49
                5050	            49
                5100	            49
                5150	            49
                5200	            49
                5250	            49
                5300	            49
                5350	            50
                5400	            51
                5450	            51
                5500	            51
                5550	            51
                5600	            51
                5650	            51
                5700	            51
                5750	            51
                5800	            51
                5850	            51
                5900	            51
                5950	            51
                6000	            51
                6050	            51
                6100	            51
                6150	            51
                6200	            51
                6250	            51
                6300	            51
                6350	            51
                6400	            51
                6450	            51
                6500	            51
                6550	            51
                6600	            51
                6650	            51
                6700	            51
                6750	            51
                6800	            51
                6850	            51
                6900	            51
                6950	            51
                7000	            51
                7050	            51
                7100	            51
                7150	            51
                7200	            51
                7250	            51
                7300	            51
                7350	            51
                7400	            51
                7450	            51
                7500	            51
                7550	            51
                7600	            51
                7650	            51
                7700	            51
                7750	            51
                7800	            51
                7850	            51
                7900	            51
                7950	            51
                8000	            51
                8050	            51
                8100	            51
                8150	            51
                8200	            51
                8250	            51
                8300	            51
                8350	            51
                8400	            51
                8450	            51
                8500	            51
                8550	            51
                8600	            51
                8650	            51
                8700	            51
                8750	            51
                8800	            52
                8850	            52
                8900	            52
                8950	            52
                9000	            53
                9050	            53
                9100	            53
                9150	            53
                9200	            53
                9250	            54
                9300	            54
                9350	            54
                9400	            54
                9450	            54
                9500	            54
                9550	            54
                9600	            54
                9650	            54
                9700	            54
                9750	            54
                9800	            54
                9850	            54
                9900	            55
                9950	            55
               10000	            55
               10050	            55
               10100	            55
               10150	            55
               10200	            55
               10250	            55
               10300	            55
               10350	            55
               10400	            55
               10450	            55
               10500	            55
               10550	            55
               10600	            55
               10650	            55
               10700	            55
               10750	            55
               10800	            55
               10850	            55
               10900	            55
               10950	            55
               11000	            55
               11050	            55
               11100	            55
               11150	            55
               11200	            55
               11250	            55
               11300	            55
               11350	            55
               11400	            55
               11450	            55
               11500	            55
               11550	            55
               11600	            55
               11650	            56
               11700	            56
               11750	            56
               11800	            56
               11850	            57
               11900	            57
               11950	            58
               12000	            58
               12050	            58
               12100	            58
               12150	            58
               12200	            58
               12250	            58
               12300	            58
               12350	            58
               12400	            58
               12450	            58
               12500	            58
               12550	            58
               12600	            58
               12650	            58
               12700	            58
               12750	            58
               12800	            58
               12850	            58
               12900	            58
               12950	            58
               13000	            58
               13050	            58
               13100	            58
               13150	            58
               13200	            58
               13250	            58
               13300	            58
               13350	            58
               13400	            58
               13450	            58
               13500	            58
               13550	            58
               13600	            58
               13650	            58
               13700	            58
               13750	            58
               13800	            58
               13850	            58
               13900	            58
               13950	            58
               14000	            58
               14050	            58
               14100	            58
               14150	            58
               14200	            58
               14250	            58
               14300	            58
               14350	            58
               14400	            58
               14450	            58
               14500	            58
               14550	            58
               14600	            58
               14650	            58
               14700	            58
               14750	            58
               14800	            58
               14850	            58
               14900	            58
               14950	            58
               15000	            58
               15050	            58
               15100	            58
               15150	            58
               15200	            58
               15250	            58
               15300	            58
               15350	            58
               15400	            58
               15450	            58
               15500	            58
               15550	            58
               15600	            58
               15650	            58
               15700	            58
               15750	            58
               15800	            58
               15850	            58
               15900	            58
               15950	            58
               16000	            58
               16050	            58
               16100	            58
               16150	            58
               16200	            58
               16250	            58
               16300	            58
