--------------------------------------
Executions completed	Unique Outputs
--------------------------------------
                  50	             2
                 100	             3
                 150	             3
                 200	             3
                 250	             3
                 300	             3
                 350	             3
                 400	             4
                 450	             4
                 500	             4
                 550	             4
                 600	             5
                 650	             5
                 700	             7
                 750	             7
                 800	             7
                 850	             8
                 900	             8
                 950	             8
                1000	             8
                1050	             8
                1100	             8
                1150	             8
                1200	             8
                1250	             8
                1300	             8
                1350	             8
                1400	             9
                1450	             9
                1500	             9
                1550	            17
                1600	            22
                1650	            23
                1700	            24
                1750	            24
                1800	            24
                1850	            25
                1900	            25
                1950	            25
                2000	            25
                2050	            25
                2100	            25
                2150	            25
                2200	            25
                2250	            25
                2300	            26
                2350	            26
                2400	            26
                2450	            26
                2500	            26
                2550	            26
                2600	            26
                2650	            26
                2700	            26
                2750	            26
                2800	            26
                2850	            26
                2900	            26
                2950	            27
                3000	            27
                3050	            27
                3100	            27
                3150	            27
                3200	            27
                3250	            28
                3300	            28
                3350	            28
                3400	            28
                3450	            29
                3500	            29
                3550	            29
                3600	            29
                3650	            29
                3700	            29
                3750	            29
                3800	            29
                3850	            29
                3900	            29
                3950	            29
                4000	            29
                4050	            29
                4100	            29
                4150	            29
                4200	            29
                4250	            29
                4300	            29
                4350	            29
                4400	            29
                4450	            29
                4500	            29
                4550	            29
                4600	            29
                4650	            29
                4700	            29
                4750	            29
                4800	            29
                4850	            29
                4900	            30
                4950	            30
                5000	            30
                5050	            30
                5100	            30
                5150	            30
                5200	            30
                5250	            30
                5300	            30
                5350	            30
                5400	            30
                5450	            30
                5500	            30
                5550	            30
                5600	            30
                5650	            30
                5700	            30
                5750	            30
                5800	            30
                5850	            30
                5900	            30
                5950	            31
                6000	            31
                6050	            31
                6100	            31
                6150	            31
                6200	            31
                6250	            31
                6300	            31
                6350	            31
                6400	            31
                6450	            31
                6500	            31
                6550	            31
                6600	            31
                6650	            31
                6700	            31
                6750	            31
                6800	            31
                6850	            31
                6900	            31
                6950	            31
                7000	            31
                7050	            31
                7100	            31
                7150	            31
                7200	            31
                7250	            31
                7300	            31
                7350	            31
                7400	            31
                7450	            31
                7500	            31
                7550	            31
                7600	            31
                7650	            31
                7700	            31
                7750	            31
                7800	            31
                7850	            31
                7900	            31
                7950	            31
                8000	            31
                8050	            31
                8100	            31
                8150	            31
                8200	            31
                8250	            31
                8300	            31
                8350	            31
                8400	            31
                8450	            31
                8500	            31
                8550	            31
                8600	            31
                8650	            31
                8700	            31
                8750	            31
                8800	            31
                8850	            31
                8900	            31
                8950	            31
                9000	            31
                9050	            31
                9100	            31
                9150	            31
                9200	            31
                9250	            31
                9300	            31
                9350	            31
                9400	            31
                9450	            31
                9500	            31
                9550	            31
                9600	            31
                9650	            31
                9700	            31
                9750	            31
                9800	            31
                9850	            31
                9900	            31
                9950	            31
               10000	            31
               10050	            31
               10100	            31
               10150	            31
               10200	            31
               10250	            31
               10300	            31
               10350	            31
               10400	            31
               10450	            31
               10500	            31
               10550	            31
               10600	            31
               10650	            31
               10700	            31
               10750	            31
               10800	            31
               10850	            31
               10900	            31
               10950	            31
               11000	            31
               11050	            31
               11100	            31
               11150	            31
               11200	            31
               11250	            31
               11300	            31
               11350	            31
               11400	            31
               11450	            31
               11500	            31
               11550	            31
               11600	            31
               11650	            32
               11700	            32
               11750	            32
               11800	            32
               11850	            32
               11900	            32
               11950	            32
               12000	            32
               12050	            32
               12100	            32
               12150	            32
               12200	            32
               12250	            32
               12300	            32
               12350	            32
               12400	            32
               12450	            32
               12500	            32
               12550	            32
               12600	            32
               12650	            32
               12700	            32
               12750	            32
               12800	            32
               12850	            32
               12900	            32
               12950	            32
               13000	            32
               13050	            32
               13100	            32
               13150	            32
               13200	            32
               13250	            32
               13300	            32
               13350	            32
               13400	            32
               13450	            32
               13500	            32
               13550	            32
               13600	            32
               13650	            32
               13700	            32
               13750	            32
               13800	            32
               13850	            32
               13900	            32
               13950	            32
               14000	            32
               14050	            32
               14100	            32
               14150	            32
               14200	            32
               14250	            32
               14300	            32
               14350	            32
               14400	            32
               14450	            32
               14500	            32
               14550	            32
               14600	            32
               14650	            32
               14700	            32
               14750	            32
               14800	            32
               14850	            32
               14900	            32
               14950	            32
               15000	            32
               15050	            32
               15100	            32
               15150	            32
               15200	            32
               15250	            32
               15300	            32
               15350	            32
               15400	            32
               15450	            32
               15500	            32
               15550	            32
               15600	            32
               15650	            32
               15700	            32
               15750	            32
               15800	            32
               15850	            32
               15900	            32
               15950	            32
               16000	            32
               16050	            32
               16100	            32
               16150	            32
               16200	            32
               16250	            32
               16300	            32
               16350	            32
               16400	            32
               16450	            32
               16500	            32
               16550	            32
               16600	            32
               16650	            32
               16700	            32
               16750	            32
               16800	            32
               16850	            32
               16900	            32
               16950	            32
               17000	            32
               17050	            32
               17100	            32
               17150	            32
               17200	            32
               17250	            32
               17300	            32
               17350	            32
               17400	            32
               17450	            32
               17500	            32
               17550	            32
               17600	            32
               17650	            32
               17700	            32
               17750	            32
               17800	            32
               17850	            32
               17900	            32
               17950	            32
               18000	            32
               18050	            32
               18100	            32
               18150	            32
               18200	            32
               18250	            32
               18300	            32
               18350	            32
               18400	            32
               18450	            32
               18500	            32
               18550	            32
               18600	            32
               18650	            32
               18700	            32
               18750	            32
               18800	            32
               18850	            32
               18900	            32
               18950	            32
               19000	            32
               19050	            32
               19100	            32
               19150	            32
               19200	            32
               19250	            32
               19300	            32
               19350	            32
               19400	            32
               19450	            32
               19500	            32
               19550	            32
               19600	            32
               19650	            32
               19700	            32
               19750	            32
               19800	            32
               19850	            32
               19900	            32
               19950	            32
               20000	            32
               20050	            32
               20100	            32
               20150	            32
               20200	            32
               20250	            32
               20300	            32
               20350	            32
               20400	            32
               20450	            32
               20500	            32
               20550	            32
               20600	            32
               20650	            33
               20700	            33
               20750	            33
               20800	            33
               20850	            33
               20900	            33
               20950	            33
               21000	            33
               21050	            33
               21100	            33
               21150	            33
               21200	            33
               21250	            33
               21300	            33
               21350	            33
               21400	            33
               21450	            33
               21500	            33
               21550	            33
               21600	            33
               21650	            33
               21700	            33
               21750	            33
               21800	            33
               21850	            33
               21900	            33
               21950	            33
               22000	            33
               22050	            33
               22100	            33
               22150	            33
               22200	            33
               22250	            33
               22300	            33
               22350	            33
               22400	            33
               22450	            33
               22500	            33
               22550	            33
               22600	            33
               22650	            33
               22700	            33
               22750	            33
               22800	            33
               22850	            33
               22900	            33
               22950	            33
               23000	            33
               23050	            33
               23100	            33
               23150	            33
               23200	            33
               23250	            33
               23300	            33
               23350	            33
               23400	            33
               23450	            33
               23500	            33
               23550	            33
               23600	            33
               23650	            33
               23700	            33
               23750	            33
               23800	            33
               23850	            33
               23900	            33
               23950	            33
               24000	            33
               24050	            33
               24100	            33
               24150	            33
               24200	            33
               24250	            33
               24300	            33
               24350	            33
               24400	            33
               24450	            33
               24500	            33
               24550	            33
               24600	            33
               24650	            33
               24700	            33
               24750	            33
               24800	            33
               24850	            33
               24900	            33
               24950	            33
               25000	            33
               25050	            33
               25100	            33
               25150	            33
               25200	            33
               25250	            33
               25300	            33
               25350	            33
               25400	            33
               25450	            33
               25500	            33
               25550	            33
               25600	            33
               25650	            33
               25700	            33
               25750	            33
               25800	            33
               25850	            33
               25900	            33
               25950	            33
               26000	            33
               26050	            33
               26100	            33
               26150	            33
               26200	            33
               26250	            33
               26300	            33
               26350	            33
               26400	            33
               26450	            33
               26500	            33
               26550	            33
               26600	            33
               26650	            33
               26700	            33
               26750	            33
               26800	            33
               26850	            33
               26900	            33
               26950	            33
               27000	            33
               27050	            33
               27100	            33
               27150	            33
               27200	            33
               27250	            33
               27300	            33
               27350	            33
               27400	            33
               27450	            33
               27500	            33
               27550	            33
               27600	            33
               27650	            33
               27700	            33
               27750	            33
               27800	            33
               27850	            33
               27900	            33
               27950	            33
               28000	            33
               28050	            33
               28100	            33
               28150	            33
               28200	            33
               28250	            33
               28300	            33
               28350	            33
               28400	            33
               28450	            33
               28500	            33
               28550	            33
               28600	            33
               28650	            34
               28700	            34
               28750	            34
               28800	            34
               28850	            34
               28900	            34
               28950	            34
               29000	            34
               29050	            34
               29100	            34
               29150	            34
               29200	            34
               29250	            34
               29300	            34
               29350	            34
               29400	            34
               29450	            34
               29500	            34
               29550	            34
               29600	            34
               29650	            34
               29700	            34
               29750	            34
               29800	            34
               29850	            34
               29900	            34
               29950	            34
               30000	            34
               30050	            34
               30100	            34
               30150	            34
               30200	            34
               30250	            34
               30300	            34
               30350	            34
               30400	            34
               30450	            34
               30500	            34
               30550	            34
               30600	            34
               30650	            34
               30700	            34
               30750	            34
               30800	            34
               30850	            34
               30900	            34
               30950	            34
               31000	            34
               31050	            34
               31100	            34
               31150	            34
               31200	            34
               31250	            34
               31300	            34
               31350	            34
               31400	            34
               31450	            34
               31500	            34
               31550	            34
               31600	            34
               31650	            34
               31700	            34
               31750	            34
               31800	            34
               31850	            34
               31900	            34
               31950	            34
               32000	            34
               32050	            34
               32100	            34
               32150	            34
               32200	            34
               32250	            34
               32300	            34
               32350	            34
               32400	            34
               32450	            34
               32500	            34
               32550	            34
               32600	            34
               32650	            34
               32700	            34
               32750	            34
               32800	            34
               32850	            34
               32900	            34
               32950	            34
               33000	            34
               33050	            34
               33100	            34
               33150	            34
               33200	            34
               33250	            34
               33300	            34
               33350	            34
               33400	            34
               33450	            34
               33500	            34
               33550	            34
               33600	            34
               33650	            34
               33700	            34
               33750	            34
               33800	            34
               33850	            34
               33900	            34
               33950	            34
               34000	            34
               34050	            34
               34100	            34
               34150	            34
               34200	            34
               34250	            34
               34300	            34
               34350	            34
               34400	            34
               34450	            34
               34500	            34
               34550	            34
               34600	            34
               34650	            34
               34700	            34
               34750	            34
               34800	            34
               34850	            34
               34900	            34
               34950	            34
               35000	            34
               35050	            34
               35100	            34
               35150	            34
               35200	            34
               35250	            34
               35300	            34
               35350	            34
               35400	            34
               35450	            34
               35500	            34
               35550	            34
               35600	            34
               35650	            34
               35700	            34
               35750	            34
               35800	            34
               35850	            34
               35900	            34
               35950	            34
               36000	            34
               36050	            34
               36100	            34
               36150	            34
               36200	            34
               36250	            34
               36300	            34
               36350	            34
               36400	            34
               36450	            34
               36500	            34
               36550	            34
               36600	            34
               36650	            34
               36700	            34
               36750	            34
               36800	            34
               36850	            34
               36900	            34
               36950	            34
               37000	            34
               37050	            34
               37100	            34
               37150	            34
               37200	            34
               37250	            34
               37300	            34
               37350	            34
               37400	            34
               37450	            34
               37500	            34
               37550	            34
               37600	            34
               37650	            34
               37700	            34
               37750	            34
               37800	            34
               37850	            34
               37900	            34
               37950	            34
               38000	            34
               38050	            34
               38100	            34
               38150	            34
               38200	            34
               38250	            34
               38300	            34
               38350	            34
               38400	            34
               38450	            34
               38500	            34
               38550	            34
               38600	            34
               38650	            34
               38700	            34
               38750	            34
               38800	            34
               38850	            34
               38900	            34
               38950	            34
               39000	            34
               39050	            34
               39100	            34
               39150	            34
               39200	            34
               39250	            34
               39300	            34
               39350	            34
               39400	            34
               39450	            34
               39500	            34
               39550	            34
               39600	            34
               39650	            34
               39700	            34
               39750	            34
               39800	            34
               39850	            34
               39900	            34
               39950	            34
               40000	            34
               40050	            34
               40100	            34
               40150	            34
               40200	            34
               40250	            34
               40300	            34
               40350	            34
               40400	            34
               40450	            34
               40500	            34
               40550	            34
               40600	            34
               40650	            34
               40700	            34
               40750	            34
               40800	            34
               40850	            34
               40900	            34
               40950	            34
               41000	            34
               41050	            34
               41100	            34
               41150	            34
               41200	            34
               41250	            34
               41300	            34
               41350	            34
               41400	            35
               41450	            35
               41500	            35
               41550	            35
               41600	            35
               41650	            35
               41700	            35
               41750	            35
               41800	            35
               41850	            35
               41900	            35
               41950	            35
               42000	            35
               42050	            35
               42100	            35
               42150	            35
               42200	            35
               42250	            35
               42300	            35
               42350	            35
               42400	            35
               42450	            35
               42500	            35
               42550	            35
               42600	            35
               42650	            35
               42700	            35
               42750	            35
               42800	            35
               42850	            35
               42900	            35
               42950	            35
               43000	            35
               43050	            35
               43100	            35
               43150	            35
               43200	            35
               43250	            35
               43300	            35
               43350	            35
               43400	            35
               43450	            35
               43500	            35
               43550	            35
               43600	            35
               43650	            35
               43700	            35
               43750	            35
               43800	            35
               43850	            35
               43900	            35
               43950	            35
               44000	            35
               44050	            35
               44100	            35
               44150	            35
               44200	            35
               44250	            35
               44300	            35
               44350	            35
               44400	            35
               44450	            35
               44500	            35
               44550	            35
               44600	            35
               44650	            35
               44700	            35
               44750	            35
               44800	            35
               44850	            35
               44900	            35
               44950	            35
               45000	            35
               45050	            35
               45100	            35
               45150	            35
               45200	            35
               45250	            35
               45300	            35
               45350	            35
               45400	            35
               45450	            35
               45500	            35
               45550	            35
               45600	            35
               45650	            35
               45700	            35
               45750	            35
               45800	            35
               45850	            35
               45900	            35
               45950	            35
               46000	            35
               46050	            35
               46100	            35
               46150	            35
               46200	            35
               46250	            35
               46300	            35
               46350	            35
               46400	            35
               46450	            35
               46500	            35
               46550	            35
               46600	            35
               46650	            35
               46700	            35
               46750	            35
               46800	            35
               46850	            35
               46900	            35
               46950	            35
               47000	            35
               47050	            35
               47100	            35
               47150	            35
               47200	            35
               47250	            35
               47300	            35
               47350	            35
               47400	            35
               47450	            35
               47500	            35
               47550	            35
               47600	            35
               47650	            35
               47700	            35
               47750	            35
               47800	            35
               47850	            35
               47900	            35
               47950	            35
               48000	            35
               48050	            35
               48100	            35
               48150	            35
               48200	            35
               48250	            35
               48300	            35
               48350	            35
               48400	            35
               48450	            35
               48500	            35
               48550	            35
               48600	            35
               48650	            35
               48700	            35
               48750	            35
               48800	            35
               48850	            35
               48900	            35
               48950	            35
               49000	            35
               49050	            35
               49100	            35
               49150	            35
               49200	            35
               49250	            35
               49300	            35
               49350	            35
               49400	            35
               49450	            35
               49500	            35
               49550	            35
               49600	            35
               49650	            35
               49700	            35
               49750	            35
               49800	            35
               49850	            35
               49900	            35
               49950	            35
               50000	            35
               50050	            35
               50100	            35
               50150	            35
               50200	            35
               50250	            35
               50300	            35
               50350	            35
               50400	            35
               50450	            35
               50500	            35
               50550	            35
               50600	            35
               50650	            35
               50700	            35
               50750	            35
               50800	            35
               50850	            35
               50900	            35
               50950	            35
               51000	            35
               51050	            35
               51100	            35
               51150	            35
               51200	            35
               51250	            35
               51300	            35
               51350	            35
               51400	            35
               51450	            35
               51500	            35
               51550	            35
               51600	            35
               51650	            35
               51700	            35
               51750	            35
               51800	            35
               51850	            35
               51900	            35
               51950	            35
               52000	            35
               52050	            35
               52100	            35
               52150	            35
               52200	            35
               52250	            35
               52300	            35
               52350	            35
               52400	            35
               52450	            35
               52500	            35
               52550	            35
               52600	            35
               52650	            35
               52700	            35
               52750	            35
               52800	            35
               52850	            35
               52900	            35
               52950	            35
               53000	            35
               53050	            35
               53100	            35
               53150	            35
               53200	            35
               53250	            35
               53300	            35
               53350	            35
               53400	            35
               53450	            35
               53500	            35
               53550	            35
               53600	            35
               53650	            35
               53700	            35
               53750	            35
               53800	            35
               53850	            35
               53900	            35
               53950	            35
               54000	            35
               54050	            35
               54100	            35
               54150	            35
               54200	            35
               54250	            35
               54300	            35
               54350	            35
               54400	            35
               54450	            35
               54500	            35
               54550	            35
               54600	            35
               54650	            35
               54700	            35
               54750	            35
               54800	            35
               54850	            35
               54900	            35
               54950	            35
               55000	            35
               55050	            35
               55100	            35
               55150	            35
               55200	            35
               55250	            35
               55300	            35
               55350	            35
               55400	            35
               55450	            35
               55500	            35
               55550	            35
               55600	            35
               55650	            35
               55700	            35
               55750	            35
               55800	            35
               55850	            35
               55900	            35
               55950	            35
               56000	            35
               56050	            35
               56100	            35
               56150	            35
               56200	            35
               56250	            35
               56300	            35
               56350	            35
               56400	            35
               56450	            35
               56500	            35
               56550	            35
               56600	            35
               56650	            35
               56700	            35
               56750	            35
               56800	            35
               56850	            35
               56900	            35
