--------------------------------------
Executions completed	Unique Outputs
--------------------------------------
                  50	            10
                 100	            10
                 150	            11
                 200	            19
                 250	            22
                 300	            23
                 350	            23
                 400	            23
                 450	            23
                 500	            23
                 550	            25
                 600	            27
                 650	            27
                 700	            27
                 750	            27
                 800	            27
                 850	            27
                 900	            27
                 950	            27
                1000	            27
                1050	            27
                1100	            27
                1150	            28
                1200	            29
                1250	            29
                1300	            29
                1350	            29
                1400	            29
                1450	            29
                1500	            29
                1550	            29
                1600	            29
                1650	            30
                1700	            30
                1750	            30
                1800	            30
                1850	            30
                1900	            30
                1950	            30
                2000	            30
                2050	            30
                2100	            30
                2150	            30
                2200	            30
                2250	            30
                2300	            30
                2350	            30
                2400	            30
                2450	            30
                2500	            30
                2550	            30
                2600	            30
                2650	            30
                2700	            30
                2750	            30
                2800	            30
                2850	            30
                2900	            34
                2950	            34
                3000	            34
                3050	            34
                3100	            34
                3150	            34
                3200	            34
                3250	            34
                3300	            34
                3350	            34
                3400	            34
                3450	            34
                3500	            34
                3550	            34
                3600	            34
                3650	            34
                3700	            34
                3750	            34
                3800	            34
                3850	            34
                3900	            35
                3950	            35
                4000	            35
                4050	            35
                4100	            35
                4150	            35
                4200	            35
                4250	            35
                4300	            35
                4350	            35
                4400	            35
                4450	            35
                4500	            35
                4550	            35
                4600	            36
                4650	            36
                4700	            36
                4750	            36
                4800	            36
                4850	            36
                4900	            36
                4950	            36
                5000	            36
                5050	            36
                5100	            36
                5150	            36
                5200	            36
                5250	            36
                5300	            36
                5350	            36
                5400	            38
                5450	            38
                5500	            38
                5550	            38
                5600	            38
                5650	            38
                5700	            38
                5750	            38
                5800	            38
                5850	            38
                5900	            38
                5950	            38
                6000	            38
                6050	            38
                6100	            38
                6150	            38
                6200	            38
                6250	            38
                6300	            38
                6350	            38
                6400	            38
                6450	            38
                6500	            38
                6550	            38
                6600	            38
                6650	            38
                6700	            38
                6750	            38
                6800	            38
                6850	            38
                6900	            38
                6950	            38
                7000	            38
                7050	            38
                7100	            38
                7150	            38
                7200	            38
                7250	            38
                7300	            38
                7350	            38
                7400	            38
                7450	            38
                7500	            38
                7550	            38
                7600	            38
                7650	            38
                7700	            38
                7750	            38
                7800	            38
                7850	            38
                7900	            38
                7950	            38
                8000	            38
                8050	            38
                8100	            38
                8150	            38
                8200	            38
                8250	            38
                8300	            38
                8350	            38
                8400	            38
                8450	            38
                8500	            38
                8550	            38
                8600	            38
                8650	            38
                8700	            38
                8750	            38
                8800	            38
                8850	            38
                8900	            38
                8950	            38
                9000	            39
                9050	            39
                9100	            39
                9150	            39
                9200	            39
                9250	            39
                9300	            39
                9350	            39
                9400	            39
                9450	            39
                9500	            39
                9550	            39
                9600	            39
                9650	            39
                9700	            39
                9750	            39
                9800	            39
                9850	            39
                9900	            40
                9950	            40
               10000	            40
               10050	            40
               10100	            40
               10150	            40
               10200	            40
               10250	            40
               10300	            40
               10350	            40
               10400	            40
               10450	            40
               10500	            40
               10550	            40
               10600	            40
               10650	            40
               10700	            40
               10750	            40
               10800	            40
               10850	            40
               10900	            40
               10950	            40
               11000	            40
               11050	            40
               11100	            40
               11150	            40
               11200	            40
               11250	            40
               11300	            40
               11350	            40
               11400	            40
               11450	            40
               11500	            40
               11550	            40
               11600	            40
               11650	            41
               11700	            41
               11750	            41
               11800	            41
               11850	            41
               11900	            41
               11950	            41
               12000	            41
               12050	            41
               12100	            41
               12150	            41
               12200	            41
               12250	            41
               12300	            41
               12350	            41
               12400	            41
               12450	            41
               12500	            41
               12550	            41
               12600	            41
               12650	            41
               12700	            41
               12750	            41
               12800	            41
               12850	            41
               12900	            41
               12950	            41
               13000	            41
               13050	            41
               13100	            41
               13150	            41
               13200	            41
               13250	            41
               13300	            42
               13350	            42
               13400	            42
               13450	            42
               13500	            42
               13550	            42
               13600	            42
               13650	            42
               13700	            42
               13750	            42
               13800	            42
               13850	            42
               13900	            42
               13950	            42
               14000	            42
               14050	            42
               14100	            42
               14150	            42
               14200	            43
               14250	            43
               14300	            43
               14350	            43
               14400	            43
               14450	            43
               14500	            43
               14550	            43
               14600	            43
               14650	            43
               14700	            43
               14750	            43
               14800	            43
               14850	            43
               14900	            43
               14950	            43
               15000	            43
               15050	            43
               15100	            43
               15150	            43
               15200	            43
               15250	            43
               15300	            43
               15350	            43
               15400	            43
               15450	            43
               15500	            43
               15550	            43
               15600	            43
               15650	            43
               15700	            43
               15750	            43
               15800	            43
               15850	            43
               15900	            43
               15950	            43
               16000	            43
               16050	            43
               16100	            43
               16150	            43
               16200	            43
               16250	            43
               16300	            43
               16350	            43
               16400	            43
               16450	            43
               16500	            43
               16550	            43
               16600	            43
               16650	            43
               16700	            43
               16750	            43
               16800	            43
               16850	            43
               16900	            43
               16950	            43
               17000	            43
               17050	            43
               17100	            43
               17150	            43
               17200	            43
               17250	            43
               17300	            43
               17350	            43
               17400	            43
               17450	            43
               17500	            43
               17550	            43
               17600	            43
               17650	            43
               17700	            43
               17750	            43
               17800	            43
               17850	            43
               17900	            43
               17950	            43
               18000	            43
               18050	            43
