--------------------------------------
Executions completed	Unique Outputs
--------------------------------------
                  50	             7
                 100	             7
                 150	            10
                 200	            16
                 250	            17
                 300	            17
                 350	            17
                 400	            17
                 450	            17
                 500	            17
                 550	            23
                 600	            25
                 650	            25
                 700	            25
                 750	            25
                 800	            25
                 850	            26
                 900	            26
                 950	            26
                1000	            26
                1050	            26
                1100	            26
                1150	            29
                1200	            32
                1250	            32
                1300	            32
                1350	            32
                1400	            32
                1450	            32
                1500	            32
                1550	            32
                1600	            32
                1650	            32
                1700	            32
                1750	            32
                1800	            32
                1850	            32
                1900	            32
                1950	            32
                2000	            32
                2050	            32
                2100	            32
                2150	            32
                2200	            32
                2250	            34
                2300	            34
                2350	            34
                2400	            34
                2450	            34
                2500	            34
                2550	            34
                2600	            34
                2650	            34
                2700	            35
                2750	            35
                2800	            35
                2850	            35
                2900	            37
                2950	            38
                3000	            38
                3050	            38
                3100	            38
                3150	            38
                3200	            38
                3250	            38
                3300	            38
                3350	            38
                3400	            39
                3450	            39
                3500	            40
                3550	            40
                3600	            40
                3650	            40
                3700	            40
                3750	            40
                3800	            40
                3850	            40
                3900	            40
                3950	            40
                4000	            40
                4050	            40
                4100	            40
                4150	            40
                4200	            40
                4250	            40
                4300	            40
                4350	            40
                4400	            40
                4450	            40
                4500	            40
                4550	            41
                4600	            42
                4650	            42
                4700	            42
                4750	            42
                4800	            44
                4850	            44
                4900	            44
                4950	            44
                5000	            44
                5050	            44
                5100	            44
                5150	            44
                5200	            44
                5250	            44
                5300	            44
                5350	            44
                5400	            45
                5450	            45
                5500	            45
                5550	            45
                5600	            45
                5650	            45
                5700	            45
                5750	            45
                5800	            45
                5850	            45
                5900	            45
                5950	            45
                6000	            45
                6050	            45
                6100	            45
                6150	            45
                6200	            45
                6250	            45
                6300	            45
                6350	            45
                6400	            45
                6450	            45
                6500	            45
                6550	            45
                6600	            45
                6650	            45
                6700	            45
                6750	            45
                6800	            45
                6850	            45
                6900	            45
                6950	            46
                7000	            46
                7050	            46
                7100	            46
                7150	            46
                7200	            46
                7250	            46
                7300	            46
                7350	            46
                7400	            46
                7450	            46
                7500	            46
                7550	            46
                7600	            46
                7650	            46
                7700	            46
                7750	            46
                7800	            46
                7850	            46
                7900	            46
                7950	            46
                8000	            46
                8050	            46
                8100	            46
                8150	            46
                8200	            46
                8250	            46
                8300	            46
                8350	            46
                8400	            46
                8450	            46
                8500	            46
                8550	            46
                8600	            46
                8650	            46
                8700	            46
                8750	            46
                8800	            46
                8850	            46
                8900	            46
                8950	            46
                9000	            46
                9050	            46
                9100	            46
                9150	            46
                9200	            46
                9250	            46
                9300	            46
                9350	            46
                9400	            46
                9450	            46
                9500	            46
                9550	            46
                9600	            46
                9650	            46
                9700	            46
                9750	            46
                9800	            46
                9850	            46
                9900	            46
                9950	            47
               10000	            47
               10050	            47
               10100	            47
               10150	            47
               10200	            48
               10250	            48
               10300	            48
               10350	            49
               10400	            49
               10450	            50
               10500	            50
               10550	            50
               10600	            50
               10650	            50
               10700	            50
               10750	            50
               10800	            50
               10850	            50
               10900	            50
               10950	            50
               11000	            50
               11050	            50
               11100	            50
               11150	            50
               11200	            50
               11250	            50
               11300	            50
               11350	            50
               11400	            50
               11450	            50
               11500	            50
               11550	            50
               11600	            50
               11650	            51
               11700	            51
               11750	            51
               11800	            51
               11850	            51
               11900	            51
               11950	            51
               12000	            51
               12050	            51
               12100	            51
               12150	            51
               12200	            51
               12250	            51
               12300	            51
               12350	            51
               12400	            52
               12450	            52
               12500	            52
               12550	            52
               12600	            52
               12650	            52
               12700	            52
               12750	            52
               12800	            52
               12850	            52
               12900	            52
               12950	            52
               13000	            52
               13050	            52
               13100	            52
               13150	            52
               13200	            52
               13250	            52
               13300	            52
               13350	            52
               13400	            52
               13450	            52
               13500	            52
               13550	            52
               13600	            52
               13650	            52
               13700	            52
               13750	            52
               13800	            52
               13850	            52
               13900	            52
               13950	            52
               14000	            52
               14050	            53
               14100	            53
               14150	            53
               14200	            54
               14250	            54
               14300	            54
               14350	            54
               14400	            54
               14450	            54
               14500	            54
               14550	            54
               14600	            54
               14650	            54
               14700	            54
               14750	            54
               14800	            54
               14850	            54
               14900	            54
               14950	            54
               15000	            54
               15050	            54
               15100	            54
               15150	            54
               15200	            54
               15250	            54
               15300	            54
               15350	            54
               15400	            54
               15450	            54
               15500	            54
               15550	            54
               15600	            54
               15650	            54
               15700	            54
               15750	            54
               15800	            54
               15850	            54
               15900	            54
               15950	            54
               16000	            54
               16050	            54
               16100	            54
               16150	            54
               16200	            54
               16250	            54
               16300	            54
               16350	            54
               16400	            54
               16450	            54
               16500	            54
               16550	            54
               16600	            54
               16650	            55
               16700	            55
               16750	            55
               16800	            55
               16850	            55
               16900	            55
               16950	            55
               17000	            55
               17050	            55
               17100	            55
               17150	            55
               17200	            55
               17250	            55
               17300	            55
               17350	            55
               17400	            55
               17450	            55
               17500	            55
               17550	            55
               17600	            55
               17650	            55
               17700	            55
               17750	            55
               17800	            55
               17850	            55
               17900	            55
               17950	            55
               18000	            55
               18050	            55
               18100	            55
