k1	 k2	 k3	 k4	 k5	 k6	 k7	 k8	 k9	 k10	 k11	 k12	 k13	 k14	 k15	 k16	 #nd	 #lm	 #sm	 
================================================================================================================================================================

0	 103	 198	 105	 115	 81	 255	 74	 236	 41	 205	 186	 171	 242	 251	 227	 	1353	41	10
0	 70	 124	 194	 84	 248	 27	 232	 231	 141	 118	 90	 46	 99	 51	 159	 	1353	41	10
0	 201	 154	 102	 50	 13	 183	 49	 88	 163	 90	 37	 93	 5	 23	 88	 	1353	41	10
0	 233	 94	 212	 171	 178	 205	 198	 155	 180	 84	 17	 14	 130	 116	 65	 	1353	41	10
0	 33	 61	 220	 135	 112	 233	 62	 161	 65	 225	 252	 103	 62	 1	 126	 	1353	41	10
1	 151	 234	 220	 107	 150	 143	 56	 92	 42	 236	 176	 59	 251	 50	 175	 	1353	41	10
1	 60	 84	 236	 24	 219	 92	 2	 26	 254	 67	 251	 250	 170	 58	 251	 	1353	41	10
1	 41	 209	 230	 5	 60	 124	 148	 117	 216	 190	 97	 137	 249	 92	 187	 	1353	41	10
1	 168	 153	 15	 149	 177	 235	 241	 179	 5	 239	 247	 0	 233	 161	 58	 	1353	41	10
1	 229	 202	 11	 203	 208	 72	 71	 100	 189	 31	 35	 30	 168	 28	 123	 	1353	41	10
2	 100	 197	 20	 115	 90	 197	 94	 75	 121	 99	 59	 112	 100	 36	 17	 	1353	41	10
2	 158	 9	 220	 170	 212	 172	 242	 27	 16	 175	 59	 51	 205	 227	 80	 	1353	41	10
2	 72	 71	 21	 92	 187	 111	 34	 25	 186	 155	 125	 245	 11	 225	 26	 	1353	41	10
2	 28	 127	 35	 248	 41	 248	 164	 27	 19	 181	 202	 78	 232	 152	 50	 	1353	41	10
2	 56	 224	 121	 77	 61	 52	 188	 95	 78	 119	 250	 203	 108	 5	 172	 	1353	41	10
3	 134	 33	 43	 170	 26	 85	 162	 190	 112	 181	 115	 59	 4	 92	 211	 	1353	41	10
3	 54	 148	 179	 175	 226	 240	 228	 158	 79	 50	 21	 73	 253	 130	 78	 	1353	41	10
3	 169	 8	 112	 212	 178	 138	 41	 84	 72	 154	 10	 188	 213	 14	 24	 	1353	41	10
3	 168	 68	 172	 91	 243	 142	 76	 215	 45	 155	 9	 66	 229	 6	 196	 	1353	41	10
3	 51	 175	 205	 163	 132	 127	 45	 173	 212	 118	 71	 222	 50	 28	 236	 	1353	41	10
4	 74	 196	 48	 246	 32	 35	 133	 108	 251	 178	 7	 4	 244	 236	 11	 	1353	41	10
4	 185	 32	 186	 134	 195	 62	 5	 241	 236	 217	 103	 51	 183	 153	 80	 	1353	41	10
4	 163	 227	 20	 211	 217	 52	 247	 94	 160	 242	 16	 168	 246	 5	 148	 	1353	41	10
4	 1	 190	 180	 188	 68	 120	 250	 73	 105	 230	 35	 208	 26	 218	 105	 	1353	41	10
4	 106	 126	 76	 126	 81	 37	 179	 72	 132	 83	 58	 148	 251	 49	 153	 	1353	41	10
5	 144	 50	 87	 68	 238	 155	 188	 233	 229	 37	 207	 8	 245	 233	 226	 	1353	41	10
5	 94	 83	 96	 170	 210	 178	 208	 133	 250	 84	 216	 53	 232	 212	 102	 	1353	41	10
